gene	PC1	PC2	PC3	PC4
ANKS1B	0.039372881	-0.022326847	-0.006645561	-0.0080241494
ANLN	-0.0042098472	-0.015183669	-0.031786232	-0.039265947
ANPEP	0.0081878148	0.019422019	0.0034226969	0.0066708824
ANTXR1	0.018579967	0.039263198	0.0024461174	0.022510843
ANXA10	0.0042695675	-0.01074476	-0.040392546	0.043892733
ANXA4	-0.024280605	-0.0089285225	-0.020135696	0.010560604
ANXA8	-0.0010663803	0.0027235111	-0.04068566	0.015610747
AOC1	0.0070351838	-0.0096105304	0.026058357	0.034222279
AP1S3	-0.0093977846	-0.008462069	-0.016416739	0.0043958357
AP3B2	0.025946436	-0.012370813	-0.0051020197	-3.42044e-05
APBA1	0.025225519	-0.0089637242	0.0061185439	-0.0033540264
APBA2	0.030923613	-0.01193024	0.0086168835	-0.012953365
APBB1	0.039412017	-0.0094732325	0.0019006253	-0.011445259
APBB1IP	0.019183353	0.022111427	1.2844715e-05	0.01787887
APC	0.031414255	-0.014655867	-0.0030323959	-0.0058900602
APCDD1L	0.013132909	0.0061673883	0.004804736	0.00023966712
APLNR	0.03463887	0.0083626652	0.0024816369	0.0088915395
APLP1	0.045264034	-0.033056588	-0.014298081	-0.042741309
APOC1	0.015845153	0.05628677	0.0023172542	-0.0061084814
APOC2	0.023055406	0.021111217	-0.0016357298	0.0059147249
APOD	0.054594624	0.010253742	0.00075972904	-0.0029636127
APOLD1	0.028204836	0.011289908	-0.0051627022	-0.0065846489
AQP1	0.008643162	0.016813869	0.044937497	-0.026204283
AQP3	-0.034556771	-0.029993281	0.073887282	0.016499825
AQP4	0.055567789	-0.031411169	0.0131893	0.00050930655
AQP5	0.011749643	-0.0027612249	0.034075913	0.034032754
ARC	0.022733777	-0.00090056109	-0.0036452934	0.0065340706
AREG	-0.020301877	0.00058547453	-0.0021779416	-0.086303638
ARHGAP29	0.0019947767	0.011677447	0.0088217015	-0.036538253
ARHGAP44	0.020977893	-0.012487735	0.02033525	0.0058508259
ARHGDIG	0.034010653	-0.015377179	0.0044738978	-0.0068783753
ARL14	0.011402339	-0.00069809767	-0.0094166715	0.01916359
