task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	q_bh	delta_vs_primary
P3-T4	immune	LAG3														lung	brain	TIME-L	TIME-B	15	8	6	3	0.4	0.375	FALSE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in either group (TIME-L 6/15, TIME-B 3/8)	satterthwaite				
P3-T4	immune	PDCD1														lung	brain	TIME-L	TIME-B	15	8	8	3	0.533333333333333	0.375	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in TIME-B (3/8)	satterthwaite				
P3-T4	immune	TIGIT														lung	brain	TIME-L	TIME-B	15	8	8	1	0.533333333333333	0.125	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in TIME-B (1/8)	satterthwaite				
P3-T4	tumour	CD274	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.000257973482935562	0.143615307453079	31.24949065999	-0.292552624668848	0.293068571634719	0.00179628124265127	0.998578194024559	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.998578194024559	-0.0232004624845087
P3-T4	tumour	CD276	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.0253770562158581	0.10260020781361	27.6041170305701	-0.235679928425082	0.184925815993366	-0.247339228220276	0.806476141883248	FALSE	57	34	lung	brain	L	LB	30	27	29	26	0.966666666666667	0.962962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.998578194024559	0.0177250255543295
P3-T4	tumour	CD274	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.0291524303487151	0.145918661671474	29.8263526695296	-0.268926003912514	0.327230864609944	0.199785483328718	0.843004242265699	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.843004242265699	0.00569399438127089
P3-T4	tumour	CD276	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.0405655578210943	0.101240125067353	26.6575144674907	-0.248418083443564	0.167286967801375	-0.40068656369307	0.691844309929273	FALSE	57	34	lung	brain	L	LB	30	27	29	26	0.966666666666667	0.962962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.843004242265699	0.00253652394909322
P3-T4	tumour	CD274	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.0234584359674442	0.147594263627352	31.0272289576898	-0.277551342607865	0.324468214542754	0.158938670046639	0.87474725378973	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.87474725378973	
P3-T4	tumour	CD276	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.0431020817701875	0.0992940478475139	26.8076464168645	-0.246905063074019	0.160700899533643	-0.434085251881155	0.66770027482339	FALSE	57	34	lung	brain	L	LB	30	27	29	26	0.966666666666667	0.962962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.87474725378973	
P3-T4	tumour	CTLA4														lung	brain	L	LB	30	27	2	2	0.0666666666666667	0.0740740740740741	FALSE	FALSE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in either group (L 2/30, LB 2/27)	satterthwaite				
P3-T4	tumour	HAVCR2														lung	brain	L	LB	30	27	2	2	0.0666666666666667	0.0740740740740741	FALSE	FALSE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in either group (L 2/30, LB 2/27)	satterthwaite				
P3-T4	tumour	IDO1														lung	brain	L	LB	30	27	9	4	0.3	0.148148148148148	FALSE	FALSE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in either group (L 9/30, LB 4/27)	satterthwaite				
P3-T4	tumour	LAG3														lung	brain	L	LB	30	27	2	2	0.0666666666666667	0.0740740740740741	FALSE	FALSE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in either group (L 2/30, LB 2/27)	satterthwaite				
P3-T4	tumour	PDCD1														lung	brain	L	LB	30	27	12	14	0.4	0.518518518518518	FALSE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in L (12/30)	satterthwaite				
P3-T4	tumour	TIGIT														lung	brain	L	LB	30	27	0	2	0	0.0740740740740741	FALSE	FALSE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in either group (L 0/30, LB 2/27)	satterthwaite				
P3-T4	tumour	VSIR														lung	brain	L	LB	30	27	8	11	0.266666666666667	0.407407407407407	FALSE	FALSE	4.91207571629686	4.9429835981871	0.0309078818902453		not_assessable	not assessable in either group (L 8/30, LB 11/27)	satterthwaite				
