aoi_label	library_size	q3	median	max	n_zero_genes	negprobe
TIME-B20	1766883.41	91.04	68.61	37838.0	0	56.95
TIME-B15	1954501.58	91.04	61.4	53452.0	0	36.73
TIME-B19	1742824.19	91.04	66.13	36490.0	0	47.16
TIME-B12	1792036.88	91.04	63.03	53894.0	0	27.98
TIME-B31	1745661.51	91.04	67.44	30203.0	0	47.22
TIME-B35	1857935.68	91.04	70.18	29124.0	0	36.41
BC03	1623270.07	91.04	69.44	10172.0	0	57.59
BC04	1668724.36	91.04	64.43	11749.0	0	49.96
BC06	1618353.0	91.04	63.52	7804.3	0	45.61
BC07	1726791.75	91.04	58.97	11488.0	0	43.41
BC08	1633797.47	91.04	71.67	11938.0	0	59.91
BC09	1658365.94	91.04	67.55	17673.0	0	55.36
BC10	1653760.95	91.04	65.64	10568.0	0	49.68
