site	metric	n_patients	spearman_rho	p_raw	tumour_median	immune_median	tumour_iqr	immune_iqr	verdict	threshold
brain	negprobe_log2	8	0.5476190476190477	0.1600256425388966	4.935440025957961	5.259505294498774	0.28143357571453365	0.4094827717909988	shared	0.3
brain	gene_detection_rate	8	0.6666666666666669	0.07098765432098757	0.428747	0.3520915	0.09458875	0.2066035	shared	0.3
lung	negprobe_log2	13	0.3516483516483516	0.23869970534203375	5.060912049587874	5.323009710612814	0.8136750789324685	0.30951845972757397	shared	0.3
lung	gene_detection_rate	13	0.23076923076923078	0.4481273823153657	0.390018	0.349738	0.21450800000000003	0.11714999999999998	negligible	0.3
