interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB1:22/27	ACVR1B:6/8;TGFBR2:8/8	0.8148148148148148	0.75	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB1:8/8	ACVR1B:25/27;TGFBR2:23/27	1.0	0.8518518518518519	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	ACVR1B:8/15;TGFBR2:15/15	0.9	0.5333333333333333	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB1:15/15	ACVR1B:29/30;TGFBR2:28/30	1.0	0.9333333333333333	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1C_TGFBR2	TGFB1 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB1	ACVR1C_TGFbR2	TGFB1	ACVR1C;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB1:22/27	ACVR1C:0/8;TGFBR2:8/8	0.8148148148148148	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1C_TGFBR2	TGFB1 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB1	ACVR1C_TGFbR2	TGFB1	ACVR1C;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB1:8/8	ACVR1C:0/27;TGFBR2:23/27	1.0	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1C_TGFBR2	TGFB1 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	ACVR1C_TGFbR2	TGFB1	ACVR1C;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	ACVR1C:0/15;TGFBR2:15/15	0.9	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1C_TGFBR2	TGFB1 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB1	ACVR1C_TGFbR2	TGFB1	ACVR1C;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB1:15/15	ACVR1C:0/30;TGFBR2:28/30	1.0	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1B_TGFBR2	TGFB2 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB2	ACVR1B_TGFbR2	TGFB2	ACVR1B;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB2:8/27	ACVR1B:6/8;TGFBR2:8/8	0.2962962962962963	0.75	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1B_TGFBR2	TGFB2 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB2	ACVR1B_TGFbR2	TGFB2	ACVR1B;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB2:1/8	ACVR1B:25/27;TGFBR2:23/27	0.125	0.8518518518518519	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1B_TGFBR2	TGFB2 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB2	ACVR1B_TGFbR2	TGFB2	ACVR1B;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB2:8/30	ACVR1B:8/15;TGFBR2:15/15	0.26666666666666666	0.5333333333333333	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1B_TGFBR2	TGFB2 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB2	ACVR1B_TGFbR2	TGFB2	ACVR1B;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB2:0/15	ACVR1B:29/30;TGFBR2:28/30	0.0	0.9333333333333333	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1C_TGFBR2	TGFB2 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB2	ACVR1C_TGFbR2	TGFB2	ACVR1C;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB2:8/27	ACVR1C:0/8;TGFBR2:8/8	0.2962962962962963	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1C_TGFBR2	TGFB2 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB2	ACVR1C_TGFbR2	TGFB2	ACVR1C;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB2:1/8	ACVR1C:0/27;TGFBR2:23/27	0.125	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1C_TGFBR2	TGFB2 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB2	ACVR1C_TGFbR2	TGFB2	ACVR1C;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB2:8/30	ACVR1C:0/15;TGFBR2:15/15	0.26666666666666666	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB2_ACVR1C_TGFBR2	TGFB2 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB2	ACVR1C_TGFbR2	TGFB2	ACVR1C;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB2:0/15	ACVR1C:0/30;TGFBR2:28/30	0.0	0.0	False	below_detection_floor	growth factor	False	True	PMID: 27449815
TGFB3_ACVR1B_TGFBR2	TGFB3 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB3	ACVR1B_TGFbR2	TGFB3	ACVR1B;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB3:2/27	ACVR1B:6/8;TGFBR2:8/8	0.07407407407407407	0.75	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1B_TGFBR2	TGFB3 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB3	ACVR1B_TGFbR2	TGFB3	ACVR1B;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB3:5/8	ACVR1B:25/27;TGFBR2:23/27	0.625	0.8518518518518519	True	admitted	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1B_TGFBR2	TGFB3 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB3	ACVR1B_TGFbR2	TGFB3	ACVR1B;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB3:3/30	ACVR1B:8/15;TGFBR2:15/15	0.1	0.5333333333333333	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1B_TGFBR2	TGFB3 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB3	ACVR1B_TGFbR2	TGFB3	ACVR1B;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB3:7/15	ACVR1B:29/30;TGFBR2:28/30	0.4666666666666667	0.9333333333333333	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1C_TGFBR2	TGFB3 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB3	ACVR1C_TGFbR2	TGFB3	ACVR1C;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB3:2/27	ACVR1C:0/8;TGFBR2:8/8	0.07407407407407407	0.0	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1C_TGFBR2	TGFB3 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB3	ACVR1C_TGFbR2	TGFB3	ACVR1C;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB3:5/8	ACVR1C:0/27;TGFBR2:23/27	0.625	0.0	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1C_TGFBR2	TGFB3 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB3	ACVR1C_TGFbR2	TGFB3	ACVR1C;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB3:3/30	ACVR1C:0/15;TGFBR2:15/15	0.1	0.0	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB3_ACVR1C_TGFBR2	TGFB3 - (ACVR1C+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB3	ACVR1C_TGFbR2	TGFB3	ACVR1C;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB3:7/15	ACVR1C:0/30;TGFBR2:28/30	0.4666666666666667	0.0	False	below_detection_floor	cytokine;growth factor	True	True	PMID: 27449815
TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB1	ACVR1_TGFbR	TGFB1	ACVR1;TGFBR1;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB1:22/27	ACVR1:5/8;TGFBR1:2/8;TGFBR2:8/8	0.8148148148148148	0.25	False	below_detection_floor	growth factor	False	True	PMID: 29376829
