task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	in_primary	delta_vs_primary
P3-T3	brain	PDCD1	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.244660690838999	0.161571337273866	32.999999999406	-0.0840586664742537	0.573380048152251	1.51425800495972	0.139480560843737	TRUE	35	27	tumour	immune	LB	TIME-B	27	8	14	3	0.518518518518518	0.375	TRUE	FALSE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	
P3-T3	brain	VSIR	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	1.0112151839625	0.22821094108759	32.9999999988423	0.546916533273869	1.47551383465113	4.43105479142818	9.75376520591883e-05	TRUE	35	27	tumour	immune	LB	TIME-B	27	8	11	7	0.407407407407407	0.875	FALSE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	
P3-T3	lung	CD274	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.634931981210198	0.133654744323999	19.694394023388	0.355855466610449	0.914008495809947	4.75053829492971	0.000127051863782246	FALSE	45	30	tumour	immune	L	TIME-L	30	15	19	13	0.633333333333333	0.866666666666667	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			TRUE	0.0228548141977118
P3-T3	lung	CD276	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.20121410284214	0.152650339316045	17.2755189170467	-0.120459130213063	0.522887335897343	1.31813727859162	0.204669074259543	FALSE	45	30	tumour	immune	L	TIME-L	30	15	29	15	0.966666666666667	1	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			TRUE	0.0544349274041492
P3-T3	lung	CTLA4	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	1.32068280277403	0.128419601939833	41.9999999994491	1.06152155381593	1.57984405173214	10.2841216046815	4.82895460494378e-13	TRUE	45	30	tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.104406084907537
P3-T3	lung	HAVCR2	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.78007790557378	0.124190823384124	32.6197726364956	0.527297842990966	1.03285796815659	6.28128459347586	4.43997899555804e-07	FALSE	45	30	tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	-0.182487108346098
P3-T3	lung	IDO1	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.277163684473996	0.278863949843612	28.9570396180412	-0.293213888280768	0.84754125722876	0.99390288572413	0.328503417982752	FALSE	45	30	tumour	immune	L	TIME-L	30	15	9	8	0.3	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	-0.246518254746601
P3-T3	lung	PDCD1	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.232569304986998	0.102898306046559	41.9999999995931	0.0249121163033648	0.440226493670632	2.26018594399179	0.0290546744994488	TRUE	45	30	tumour	immune	L	TIME-L	30	15	12	8	0.4	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.175864546600159
P3-T3	lung	TIGIT	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.839920648762598	0.134084086558492	41.9999999986682	0.569328007039527	1.11051329048567	6.26413372623602	1.65529988600561e-07	TRUE	45	30	tumour	immune	L	TIME-L	30	15	0	8	0	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	FALSE	-0.19641926724045
P3-T3	lung	VSIR	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	1.22212274082945	0.141793681928663	33.3975533525591	0.933771723542265	1.51047375811664	8.61902113131042	5.26927708056602e-10	FALSE	45	30	tumour	immune	L	TIME-L	30	15	8	14	0.266666666666667	0.933333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	exploratory		satterthwaite			FALSE	-0.113645169609968
