complex_name	subunits	n_subunits
FLT1_KDR	FLT1;KDR	2
FLT4_KDR	FLT4;KDR	2
FPR2_LXA4	FPR2;FPR3	2
FZD1_LRP5	FZD1;LRP5	2
FZD1_LRP6	FZD1;LRP6	2
FZD10_LRP5	FZD10;LRP5	2
FZD10_LRP6	FZD10;LRP6	2
FZD2_LRP5	FZD2;LRP5	2
FZD2_LRP6	FZD2;LRP6	2
FZD3_LRP5	FZD3;LRP5	2
FZD3_LRP6	FZD3;LRP6	2
FZD4_LRP5	FZD4;LRP5	2
FZD4_LRP6	FZD4;LRP6	2
FZD5_LRP5	FZD5;LRP5	2
FZD5_LRP6	FZD5;LRP6	2
FZD6_LRP5	FZD6;LRP5	2
FZD6_LRP6	FZD6;LRP6	2
FZD7_LRP5	FZD7;LRP5	2
FZD7_LRP6	FZD7;LRP6	2
FZD8_LRP5	FZD8;LRP5	2
FZD8_LRP6	FZD8;LRP6	2
FZD9_LRP5	FZD9;LRP5	2
FZD9_LRP6	FZD9;LRP6	2
GFRA1_RET	GFRA1;RET	2
GFRA2_RET	GFRA2;RET	2
GFRA3_RET	GFRA3;RET	2
GFRA4_RET	GFRA4;RET	2
IFNAR1_IFNAR2	IFNAR1;IFNAR2	2
IFNGR1_IFNGR2	IFNGR1;IFNGR2	2
IFNLR1_IL10RB	IFNLR1;IL10RB	2
IL10RA_IL10RB	IL10RA;IL10RB	2
IL11R complex	IL11RA;IL6ST	2
IL12RB1_IL12RB2	IL12RB1;IL12RB2	2
IL15RA_IL2RB	IL15RA;IL2RB;IL2RG	3
IL17RA_IL17RB	IL17RA;IL17RB	2
IL17RA_IL17RC	IL17RA;IL17RC	2
IL17RA_IL17RE	IL17RA;IL17RE	2
IL18R1_IL18RAP	IL18R1;IL18RAP	2
IL1R1_IL1RAP	IL1R1;IL1RAP	2
IL1RL1_IL1RAP	IL1RL1;IL1RAP	2
IL1RL2_IL1RAP	IL1RL2;IL1RAP	2
IL2RA_IL2RB	IL2RA;IL2RB;IL2RG	3
IL21R_IL2RG	IL21R;IL2RG	2
IL22RA1_IL10RB	IL22RA1;IL10RB	2
IL22RA1_IL20RB	IL22RA1;IL20RB	2
IL20RA_IL20RB	IL20RA;IL20RB	2
IL20RA_IL10RB	IL20RA;IL10RB	2
IL23R_IL12RB1	IL23R;IL12RB1	2
IL27RA_IL6ST	IL27RA;IL6ST	2
IL2RB_IL2RG	IL2RB;IL2RG	2
IL31RA_OSMR	IL31RA;OSMR	2
IL3RA_CSF2RB	IL3RA;CSF2RB	2
IL4R_IL13RA1	IL4R;IL13RA1	2
IL4R_IL13RA2	IL4R;IL13RA2	2
IL4R_IL2RG	IL4R;IL2RG	2
IL5RA_CSF2RB	IL5RA;CSF2RB	2
IL6R_IL6ST	IL6R;IL6ST	2
IL7R_CRLF2	IL7R;CRLF2	2
IL7R_IL2RG	IL7R;IL2RG	2
IL9R_IL2RG	IL9R;IL2RG	2
ITGA1_ITGB1	ITGA1;ITGB1	2
ITGA10_ITGB1	ITGA10;ITGB1	2
ITGA11_ITGB1	ITGA11;ITGB1	2
