gene	var_patient	var_site	var_compartment	var_dsp_run	var_residual	highly_variable	converged	method	mean_log2	detected_in_n_aoi
ZNF473	2.2924039e-09	2.9312015e-08	0.14637681	1.4014251e-08	0.85362315	False	True	powell	5.4438528	5
ZNF474	0.0020194329	0.0064731666	0.32227942	0.24308356	0.42614442	False	True	lbfgs	5.4312464	3
ZNF479	0.14975975	0.0096499618	0.23547426	0.2150701	0.39004592	False	True	lbfgs	5.2950533	1
ZNF48	0.1240373	0.06114145	0.20142242	0.11480203	0.4985968	False	True	lbfgs	5.8380538	21
ZNF480	0.11641987	0.033433437	0.2078822	0.23693148	0.40533301	False	True	lbfgs	5.6086875	7
ZNF483	0.0012506296	0.0017448612	0.7282481	0.082969905	0.1857865	False	True	lbfgs	5.8692056	23
ZNF484	6.0895548e-10	7.1226417e-09	0.34070417	9.6871581e-10	0.65929582	False	True	powell	5.5788863	6
ZNF485	0.1243742	0.0068890799	0.28221218	0.12712617	0.45939838	False	True	powell	5.5192695	2
ZNF486	0.16032468	0.030397258	0.28229113	0.17365874	0.3533282	False	True	lbfgs	5.4956277	7
ZNF487	0.073466223	1.4739888e-10	0.32641795	0.16247532	0.4376405	False	True	powell	5.5593051	2
ZNF488	0.047496143	0.01112167	0.202166	0.25467113	0.48454506	False	True	lbfgs	5.272036	3
ZNF490	0.19770657	0.14828743	0.11379757	0.069321351	0.47088707	False	True	lbfgs	5.555859	5
ZNF491	0.036998856	5.2981463e-06	0.23946865	0.29613629	0.42739091	False	True	powell	5.4729997	0
ZNF492	0.074171218	3.9230734e-11	0.23988548	0.32604441	0.35989889	False	True	powell	5.1739969	0
ZNF493	0.29043076	0.022424718	0.20787349	4.9603682e-11	0.47927103	False	True	powell	5.8056448	21
ZNF496	0.27757589	6.0300421e-11	0.19225129	5.3109122e-11	0.53017282	False	True	powell	5.6509207	15
ZNF497	0.00060934649	0.0077061003	0.33124606	0.19364024	0.46679826	False	True	lbfgs	5.635324	7
ZNF500	0.092837386	5.025605e-11	0.365401	0.039816337	0.50194528	False	True	powell	7.1721712	105
ZNF501	0.081066722	5.6490903e-11	0.28388141	0.094529026	0.54052284	False	True	powell	5.5228834	1
ZNF502	0.23189355	0.017462249	0.35721022	0.13208261	0.26135137	False	True	lbfgs	5.6356751	6
ZNF503	0.30063429	0.011839182	0.067478025	0.15479932	0.46524919	False	True	lbfgs	6.0477696	44
ZNF506	0.35418472	0.01236438	6.3348346e-11	6.6876925e-11	0.6334509	False	True	powell	6.4702767	82
ZNF507	0.16668128	9.3587904e-09	0.0033428617	0.076532981	0.75344287	False	True	powell	5.9968866	34
ZNF510	0.073500602	0.046603102	0.21070468	0.035865396	0.63332622	False	True	powell	5.6416816	7
ZNF511	0.27101459	0.013250859	0.0082548571	0.21210772	0.49537197	False	True	lbfgs	6.0972198	44
ZNF512	0.06189371	0.044834783	8.9387853e-11	9.2804575e-11	0.89327151	False	True	powell	6.5725542	94
ZNF512B	0.21042625	1.0997799e-10	0.035487995	1.0730949e-10	0.75408575	False	True	powell	6.2525217	63
ZNF513	0.17353339	8.7840142e-11	9.3223718e-11	8.6862465e-11	0.82646661	False	True	powell	6.060554	48
ZNF514	0.22453593	6.708706e-11	0.14204382	6.9557322e-11	0.63342025	False	True	powell	5.6827068	17
ZNF516	0.26235	1.4226391e-09	0.059528186	5.2247795e-10	0.67812181	False	True	powell	6.2467226	58
ZNF517	0.06788142	0.023131151	0.32457546	0.24829307	0.33611891	False	True	powell	5.2860198	1
ZNF518A	0.21186404	9.6887316e-11	8.0174867e-11	0.0014634845	0.78667247	False	True	powell	6.176092	56
ZNF518B	0.11126075	0.035958494	0.026939636	8.2753658e-11	0.82584112	False	True	powell	5.7965588	23
ZNF519	5.6582341e-09	8.246808e-10	0.28419419	7.5293389e-09	0.7158058	False	True	powell	6.2099162	65
ZNF521	0.019191937	5.9854182e-06	0.47187617	0.16888704	0.34003887	False	True	powell	5.6290799	10
ZNF524	0.093416577	0.01614106	0.2117647	7.3140806e-11	0.67867766	False	True	powell	6.571319	96
ZNF525	0.00067489404	0.011363517	0.24755412	0.10691227	0.6334952	False	True	lbfgs	5.5145429	5
ZNF526	9.7643484e-11	1.2620312e-09	0.029505706	1.2064112e-10	0.97049429	False	True	powell	5.8292552	25
ZNF527	1.2802713e-10	3.4059441e-10	0.22843088	0.12133054	0.65023858	False	True	powell	5.4470074	3
ZNF528	0.12518502	0.0005915408	0.20548208	0.10411337	0.56462798	False	True	lbfgs	5.9083938	27
ZNF529	0.19655536	7.8928014e-11	0.031055401	8.2473789e-11	0.77238924	False	True	powell	7.0728255	112
ZNF530	0.09107834	0.04389771	0.039271359	0.003936683	0.82181591	False	True	lbfgs	6.6178145	96
ZNF532	0.16616715	9.6539053e-11	0.089008296	8.1699691e-11	0.74482455	False	True	powell	6.8603878	107
ZNF534	0.12308328	5.7450037e-11	0.23021897	0.086435648	0.5602621	False	True	powell	5.3902126	2
ZNF536	1.5710662e-10	0.0054928743	0.29697878	0.19233932	0.50518902	False	True	powell	5.1907051	1
ZNF540	0.076838101	0.058628821	0.13986296	0.075750532	0.64891959	False	True	lbfgs	6.2460137	68
ZNF541	0.22784378	0.011369847	0.19664419	5.725288e-11	0.56414218	False	True	powell	4.9991438	2
ZNF543	0.031463241	0.0030395653	0.10669884	0.28603478	0.57276357	False	True	lbfgs	5.5267149	5
ZNF544	0.20567657	8.3456925e-11	7.9949173e-11	7.976746e-11	0.79432343	False	True	powell	6.097176	49
ZNF546	0.14599761	0.0050285827	0.17780585	0.2880623	0.38310565	False	True	lbfgs	4.9648721	1
ZNF547	0.068951256	0.0076076183	0.28910694	0.21866026	0.41567393	False	True	powell	5.2635384	1
ZNF548	0.18386688	6.2200433e-11	0.20501914	6.1845549e-11	0.61111398	False	True	powell	6.2370381	67
ZNF549	0.00018731394	0.0018938345	0.26102206	0.20010783	0.53678896	False	True	lbfgs	6.0038414	37
ZNF550	0.20325036	0.10076463	0.028007737	0.073560984	0.59441629	False	True	lbfgs	5.3708342	5
ZNF551	0.22596793	0.0062711762	0.19475685	0.020677434	0.55232662	False	True	lbfgs	6.7824442	101
ZNF552	0.19204502	0.00051476254	8.1371366e-11	0.0062351757	0.80120504	False	True	powell	5.9153295	31
ZNF554	0.091763981	0.13705807	0.15673941	0.11024501	0.50419353	False	True	lbfgs	5.1807764	1
ZNF555	0.073254882	0.020447265	0.27681855	0.21820311	0.41127619	False	True	lbfgs	5.5783049	5
ZNF556	0.0545809	0.012218518	0.3654494	0.10395569	0.46379549	False	True	lbfgs	5.4594269	2
ZNF557	0.043962965	4.2044684e-05	0.45397961	0.0096031495	0.49241223	False	True	lbfgs	5.5635422	10
ZNF558	0.30291604	6.8238601e-11	0.022921708	6.8838424e-11	0.67416225	False	True	powell	5.5677538	16
ZNF559	0.19991789	0.015617829	0.22428443	0.23078207	0.32939777	False	True	lbfgs	5.8927642	26
ZNF560	0.075168084	0.021167301	0.27290892	0.22639725	0.40435844	False	True	lbfgs	5.414338	2
ZNF561	0.058086263	0.019900392	0.058831856	0.18377634	0.67940515	False	True	lbfgs	6.0663353	47
ZNF562	0.40229751	0.067940818	0.0057136429	7.0502141e-11	0.52404803	False	True	powell	6.1004333	49
ZNF563	0.048542624	6.0678244e-11	0.24104502	0.13655881	0.57385354	False	True	powell	4.7585206	0
ZNF564	1.560672e-10	0.050053378	0.19098558	0.10359475	0.65536629	False	True	powell	4.9391034	0
ZNF565	0.18250071	0.0010674103	0.26233427	0.054321436	0.49977617	False	True	lbfgs	5.829014	14
ZNF566	0.054610753	7.2169036e-11	0.24625157	0.0061975601	0.69294011	False	True	powell	5.7499159	16
ZNF567	0.038098725	0.028100817	0.18266834	0.09565675	0.65547537	False	True	lbfgs	5.8031203	21
ZNF568	7.7271236e-11	0.14819569	0.10025931	9.1424466e-11	0.751545	False	True	powell	6.5192529	89
ZNF569	0.00029676645	0.014441569	0.15193838	0.20635658	0.62696671	False	True	lbfgs	5.4290786	0
ZNF57	0.024617286	0.0015081199	0.26502838	0.018934957	0.68991126	False	True	lbfgs	5.4328946	0
ZNF570	0.041655893	5.4511625e-11	0.28849029	0.13778259	0.53207123	False	True	powell	5.6975396	11
ZNF571	7.7436699e-07	0.00013701756	0.31598285	0.21508438	0.46879498	False	True	lbfgs	5.6498738	10
ZNF572	0.16354888	5.7134683e-11	0.15009055	0.17359367	0.51276689	False	True	powell	5.6248979	8
ZNF573	0.0044088805	0.0089991354	0.32929293	0.00057261775	0.65672644	False	True	lbfgs	5.6788883	11
ZNF574	0.13869152	6.3541701e-11	0.18850701	0.066707348	0.60609412	False	True	powell	7.28657	113
ZNF575	0.037177974	0.020858453	0.23801647	0.27636878	0.42757832	False	True	lbfgs	5.4760887	4
ZNF576	0.086146161	0.038454979	0.15681604	0.31446215	0.40412067	False	True	lbfgs	5.8525019	17
ZNF577	0.40056072	0.022571344	0.066095102	0.0097326889	0.50104015	False	True	lbfgs	6.2551474	60
ZNF578	0.11080189	0.028858729	0.19756275	0.089040137	0.57373649	False	True	powell	6.213704	59
ZNF579	0.20456467	0.016026206	0.019589585	0.030040529	0.72977901	False	True	powell	6.0971747	47
ZNF580	0.034083442	0.03651129	0.27626242	3.5323638e-10	0.65314284	False	True	lbfgs	6.4599055	82
ZNF581	0.05319765	7.5084602e-11	6.7448597e-11	0.31582307	0.63097928	False	True	powell	6.1929289	57
ZNF582	0.074795119	0.002292214	0.25257151	0.08975166	0.5805895	False	True	lbfgs	5.3830316	1
ZNF583	0.0082236224	0.11788897	0.22803695	0.060269405	0.58558105	False	True	lbfgs	5.5665677	2
ZNF584	0.045174543	0.0072136538	0.1984527	0.16829598	0.58086312	False	True	powell	5.6311189	9
ZNF585A	0.040204691	0.00011322078	0.061855852	0.21725573	0.6805705	False	True	lbfgs	5.7277253	23
ZNF585B	0.10576582	4.8725953e-11	0.33789804	0.10163415	0.45470198	False	True	powell	5.7835071	14
ZNF586	0.017105094	0.037964391	0.058111361	0.31738518	0.56943397	False	True	lbfgs	5.8523685	30
ZNF587	0.037482209	0.023774214	0.6318439	0.033615826	0.27328386	False	True	lbfgs	8.8021852	120
ZNF587B	0.097538411	1.1236688e-10	8.1289068e-11	0.11701489	0.78544669	False	True	powell	5.8941721	40
ZNF589	0.20775681	0.044026956	0.24082766	0.01471262	0.49267595	False	True	lbfgs	6.21953	55
ZNF592	0.22328614	0.033405447	0.15461979	0.095808707	0.49287992	False	True	lbfgs	6.7266324	98
ZNF593	0.26773065	4.6873368e-11	0.27131064	4.6634251e-11	0.46095872	False	True	powell	6.0793388	55
ZNF594	0.13737907	5.1251815e-11	0.26054918	0.089672676	0.51239907	False	True	powell	5.9779071	40
ZNF595	0.15053282	0.058293257	0.12723366	0.00023566445	0.6637046	False	True	lbfgs	5.7055867	20
ZNF596	0.098260501	0.0086153535	0.29990122	0.1099466	0.48327633	False	True	powell	5.59445	3
ZNF597	0.096779981	4.1092231e-11	0.21251474	0.28557186	0.40513342	False	True	powell	4.9072886	0
ZNF598	0.22201745	6.1348268e-11	0.14069591	0.03893024	0.59835639	False	True	powell	6.4024835	74
ZNF599	0.022482356	0.063943381	0.045863736	0.27596992	0.59174061	False	True	lbfgs	5.7598726	16
ZNF600	0.068525442	7.0101369e-11	0.31810748	6.2917148e-11	0.61336707	False	True	powell	5.4846658	11
ZNF605	0.0030576724	0.0010223934	0.068760674	0.17910121	0.74805805	False	True	lbfgs	5.7534479	22
ZNF606	0.028403769	0.031646728	0.16612493	0.20750909	0.56631548	False	True	lbfgs	5.7532292	9
ZNF607	0.076938587	5.5311045e-11	0.17595258	0.2314876	0.51562123	False	True	powell	5.4575497	3
ZNF608	0.16221061	0.00011893538	0.03613944	0.28470068	0.51683034	False	True	lbfgs	5.9984675	42
ZNF609	0.25337942	0.0036057311	0.090584054	0.091293419	0.56113738	False	True	lbfgs	7.1233898	111
ZNF610	0.17199473	5.9742336e-11	0.20404151	0.036880354	0.5870834	False	True	powell	5.4975382	2
ZNF611	7.2758492e-10	0.0032209874	0.25609479	0.0062230218	0.7344612	False	True	powell	5.6938411	13
ZNF613	0.089416955	0.00018865631	0.36748208	0.17632712	0.36658519	False	True	powell	6.376187	91
ZNF614	0.00067254858	0.0023369134	0.18193313	0.21273709	0.60232032	False	True	lbfgs	6.0478502	46
ZNF615	0.20234871	0.029557713	0.090266698	0.23037238	0.4474545	False	True	lbfgs	5.9582172	27
ZNF616	0.018525434	0.021962635	0.35048912	0.14542202	0.46360079	False	True	lbfgs	5.5379259	11
ZNF618	0.11736622	0.027380194	0.19609009	0.17694053	0.48222296	False	True	lbfgs	5.9367206	29
ZNF619	1.5929692e-09	1.3013827e-09	0.20023004	0.14096897	0.65880099	False	True	powell	5.9187022	24
ZNF620	0.092927109	5.0119606e-11	0.30981747	0.098401427	0.498854	False	True	powell	5.6592625	4
ZNF621	0.037892812	0.10361343	0.21903027	0.15157869	0.48788479	False	True	lbfgs	6.1205816	47
ZNF622	0.11621634	0.19899313	0.11843723	0.006269049	0.56008424	False	True	lbfgs	6.5513806	80
ZNF623	3.0000415e-05	0.0075663924	0.05807674	0.18505455	0.74927231	False	True	lbfgs	5.9340264	45
ZNF624	0.12276775	0.00051661589	0.35837106	0.03123442	0.48711016	False	True	powell	5.6518465	4
ZNF625	0.037961976	0.034948036	0.40152378	0.1151595	0.4104067	False	True	lbfgs	6.6923736	98
ZNF626	0.43895901	5.1654923e-11	0.049795645	5.7452094e-11	0.51124534	False	True	powell	5.6321422	22
ZNF627	0.00031439197	0.0028797673	0.16232443	0.15114025	0.68334116	False	True	lbfgs	5.9084754	28
ZNF628	0.12786434	0.021285208	0.10077502	0.026724106	0.72335132	False	True	powell	5.8366233	23
