gene	alias	aoi_code	site	compartment	n_aoi	n_qc_flagged	n_detected	detection_rate	n_aoi_qc_clean	detection_rate_qc_clean	median_negprobe_ratio	mean_log2_all	mean_log2_detected	assessable	modelled
IDO1	IDO1	TIME-L	lung	immune	15	0	8	0.53333333333333333	15	0.53333333333333333	2.1977585804342752	6.4339357158977428	6.9770920221873176	True	True
LAG3	LAG-3	TIME-L	lung	immune	15	0	6	0.40000000000000002	15	0.40000000000000002	1.972440152886743	6.3670673376197051	6.5632409388912309	False	True
PDCD1	PD-1	TIME-L	lung	immune	15	0	8	0.53333333333333333	15	0.53333333333333333	2.0294778915813136	6.3493171746058685	6.4928349921781106	True	True
TIGIT	TIGIT	TIME-L	lung	immune	15	0	8	0.53333333333333333	15	0.53333333333333333	2.1614583333333335	6.3132931199990416	6.5876582500095715	True	True
VSIR	VISTA	TIME-L	lung	immune	15	0	14	0.93333333333333335	15	0.93333333333333335	3.9940338084189588	7.0793856940393374	7.1407882897173822	True	True
CD274	PD-L1	TIME-B	brain	immune	8	0	5	0.625	8	0.625	2.3249776895772589	6.5475656137896125	6.8250310016219204	True	True
CD276	B7-H3	TIME-B	brain	immune	8	0	8	1	8	1	3.9014153957080167	7.2897519351400373	7.2897519351400373	True	True
CTLA4	CTLA-4	TIME-B	brain	immune	8	0	2	0.25	8	0.25	1.7765558712099287	6.0870013139480141	6.4755431653798112	False	True
HAVCR2	TIM-3	TIME-B	brain	immune	8	0	7	0.875	8	0.875	2.342150868437594	6.6808522257691418	6.6945507579188543	True	True
IDO1	IDO1	TIME-B	brain	immune	8	0	2	0.25	8	0.25	1.2344517368438628	6.0258269600161967	6.993230564842273	False	True
LAG3	LAG-3	TIME-B	brain	immune	8	0	3	0.375	8	0.375	1.7386345035997972	5.9938514432826837	6.19249887091717	False	True
PDCD1	PD-1	TIME-B	brain	immune	8	0	3	0.375	8	0.375	1.8991612582151711	6.2820096957754483	6.5071370290004849	False	True
TIGIT	TIGIT	TIME-B	brain	immune	8	0	1	0.125	8	0.125	1.4109273822610693	5.7624889790620539	6.0006761048507196	False	True
VSIR	VISTA	TIME-B	brain	immune	8	0	7	0.875	8	0.875	3.7364665116950331	7.0224087844188166	7.1121031194547664	True	True
CD274	PD-L1	BC	brain	normal_control	7	0	0	0	7	0	1.1214971977582067	5.8347870369392991		False	False
CD276	B7-H3	BC	brain	normal_control	7	0	1	0.14285714285714285	7	0.14285714285714285	1.6445086705202314	6.3560525044779528	6.822985018546877	False	False
CTLA4	CTLA-4	BC	brain	normal_control	7	0	0	0	7	0	1.0092073658927141	5.6558870740566372		False	False
HAVCR2	TIM-3	BC	brain	normal_control	7	0	0	0	7	0	1.2359098228663445	5.9855459074240756		False	False
IDO1	IDO1	BC	brain	normal_control	7	0	0	0	7	0	0.83556237667178246	5.4244819455373241		False	False
LAG3	LAG-3	BC	brain	normal_control	7	0	0	0	7	0	0.84880780346820817	5.4155626154329317		False	False
PDCD1	PD-1	BC	brain	normal_control	7	0	0	0	7	0	1.0347187447838426	5.7344039995756777		False	False
TIGIT	TIGIT	BC	brain	normal_control	7	0	0	0	7	0	0.9376006441223832	5.6988191594631425		False	False
VSIR	VISTA	BC	brain	normal_control	7	0	6	0.8571428571428571	7	0.8571428571428571	2.1521739130434785	6.8033842641098081	6.8554932141965024	True	False
