aoi_code	DSP-1012300141221	DSP-1012310141221	total
L	22	8	30
LB	21	6	27
mLN	13	0	13
TBME	20	0	20
TIME-L	9	6	15
TIME-B	6	2	8
BC	0	7	7
TOTAL	91	29	120
