rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
168	THBS1_ITGA3_ITGB1	THBS1 - (ITGA3+ITGB1)	THBS	ECM-Receptor	lung	ligand_immune__receptor_tumour	THBS1	ITGA3_ITGB1	THBS1	ITGA3;ITGB1	TIME-L	L	exploratory	13	-0.1868131868131868	0.1868131868131868	0.541123523509894	13	1.0	-0.1868131868131868	0.541123523509894	0.0	fitted	THBS1:15/15	ITGA3:30/30;ITGB1:30/30		False	True	KEGG: hsa04512
169	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	lung	ligand_immune__receptor_tumour	MIF	CD74_CD44	MIF	CD74;CD44	TIME-L	L	exploratory	13	-0.18131868131868134	0.18131868131868134	0.5532950092839335	12	0.9230769230769231	-0.06993006993006995	0.8290236405313092	0.11138861138861139	fitted	MIF:15/15	CD74:30/30;CD44:29/30			True	PMID: 29637711; PMID: 26175090
170	SPP1_ITGAV_ITGB6	SPP1 - (ITGAV+ITGB6)	SPP1	Secreted Signaling	lung	ligand_immune__receptor_tumour	SPP1	ITGAV_ITGB6	SPP1	ITGAV;ITGB6	TIME-L	L	exploratory	13	0.1758241758241758	0.1758241758241758	0.5655798619595344	5	0.38461538461538464				below_min_n (5 < 6)	SPP1:11/15	ITGAV:30/30;ITGB6:19/30	cytokine	False	True	PMID: 21907263
171	COL9A2_ITGA11_ITGB1	COL9A2 - (ITGA11+ITGB1)	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL9A2	ITGA11_ITGB1	COL9A2	ITGA11;ITGB1	L	TIME-L	exploratory	13	0.17032967032967034	0.17032967032967034	0.5779754288392673	5	0.38461538461538464				below_min_n (5 < 6)	COL9A2:25/30	ITGA11:8/15;ITGB1:15/15	secreted	False	True	KEGG: hsa04512
172	SEMA3C_NRP1_PLXNA2	SEMA3C - (NRP1+PLXNA2)	SEMA3	Secreted Signaling	lung	ligand_tumour__receptor_immune	SEMA3C	NRP1_PLXNA2	SEMA3C	NRP1;PLXNA2	L	TIME-L	exploratory	13	-0.17032967032967034	0.17032967032967034	0.5779754288392673	5	0.38461538461538464				below_min_n (5 < 6)	SEMA3C:17/30	NRP1:15/15;PLXNA2:15/15	secreted	False	True	PMID: 27533782
173	SPP1_ITGA5_ITGB1	SPP1 - (ITGA5+ITGB1)	SPP1	Secreted Signaling	lung	ligand_tumour__receptor_immune	SPP1	ITGA5_ITGB1	SPP1	ITGA5;ITGB1	L	TIME-L	exploratory	13	-0.17032967032967034	0.17032967032967034	0.5779754288392673	6	0.46153846153846156	0.2	0.7040000000000001	0.37032967032967035	fitted	SPP1:21/30	ITGA5:14/15;ITGB1:15/15	cytokine	False	True	PMID: 21907263
174	LAMB2_ITGA7_ITGB1	LAMB2 - (ITGA7+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMB2	ITGA7_ITGB1	LAMB2	ITGA7;ITGB1	LB	TIME-B	exploratory	8	0.1666666666666667	0.1666666666666667	0.6932388117283949	3	0.375				below_min_n (3 < 6)	LAMB2:22/27	ITGA7:4/8;ITGB1:8/8			True	KEGG: hsa04512
175	COL6A2_ITGA11_ITGB1	COL6A2 - (ITGA11+ITGB1)	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A2	ITGA11_ITGB1	COL6A2	ITGA11;ITGB1	LB	TIME-B	exploratory	8	-0.1666666666666667	0.1666666666666667	0.6932388117283949	2	0.25				below_min_n (2 < 6)	COL6A2:20/27	ITGA11:4/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
176	WNT8A_FZD6_LRP5	WNT8A - (FZD6+LRP5)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT8A	FZD6_LRP5	WNT8A	FZD6;LRP5	TIME-B	LB	exploratory	8	0.1666666666666667	0.1666666666666667	0.6932388117283949	6	0.75	0.14285714285714288	0.7871720116618076	-0.023809523809523836	fitted	WNT8A:7/8	FZD6:20/27;LRP5:23/27	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
177	SEMA4A_NRP1_PLXNA2	SEMA4A - (NRP1+PLXNA2)	SEMA4	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	SEMA4A	NRP1_PLXNA2	SEMA4A	NRP1;PLXNA2	LB	TIME-B	exploratory	8	-0.1666666666666667	0.1666666666666667	0.6932388117283949	3	0.375				below_min_n (3 < 6)	SEMA4A:14/27	NRP1:8/8;PLXNA2:8/8		True	True	PMID: 27533782
178	LAMB1_ITGA6_ITGB1	LAMB1 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMB1	ITGA6_ITGB1	LAMB1	ITGA6;ITGB1	TIME-B	LB	exploratory	8	0.1666666666666667	0.1666666666666667	0.6932388117283949	3	0.375				below_min_n (3 < 6)	LAMB1:8/8	ITGA6:15/27;ITGB1:26/27			True	KEGG: hsa04512
179	COL1A2_ITGA1_ITGB1	COL1A2 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL1A2	ITGA1_ITGB1	COL1A2	ITGA1;ITGB1	LB	TIME-B	exploratory	8	-0.1666666666666667	0.1666666666666667	0.6932388117283949	5	0.625				below_min_n (5 < 6)	COL1A2:27/27	ITGA1:5/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
180	COL1A2_ITGA11_ITGB1	COL1A2 - (ITGA11+ITGB1)	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL1A2	ITGA11_ITGB1	COL1A2	ITGA11;ITGB1	L	TIME-L	exploratory	13	0.15384615384615383	0.15384615384615383	0.6157988686488813	8	0.6153846153846154	0.3571428571428572	0.3851206435562562	0.20329670329670338	fitted	COL1A2:30/30	ITGA11:8/15;ITGB1:15/15	secreted	False	True	KEGG: hsa04512
181	LAMB1_ITGA3_ITGB1	LAMB1 - (ITGA3+ITGB1)	LAMININ	ECM-Receptor	lung	ligand_immune__receptor_tumour	LAMB1	ITGA3_ITGB1	LAMB1	ITGA3;ITGB1	TIME-L	L	exploratory	13	-0.15384615384615383	0.15384615384615383	0.6157988686488813	13	1.0	-0.15384615384615383	0.6157988686488813	0.0	fitted	LAMB1:15/15	ITGA3:30/30;ITGB1:30/30			True	KEGG: hsa04512
182	SEMA4A_NRP1_PLXNA1	SEMA4A - (NRP1+PLXNA1)	SEMA4	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	SEMA4A	NRP1_PLXNA1	SEMA4A	NRP1;PLXNA1	L	TIME-L	exploratory	13	-0.14835164835164835	0.14835164835164835	0.6286094178894163	5	0.38461538461538464				below_min_n (5 < 6)	SEMA4A:16/30	NRP1:15/15;PLXNA1:11/15		True	True	PMID: 27533782
183	WNT10A_FZD1_LRP6	WNT10A - (FZD1+LRP6)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT10A	FZD1_LRP6	WNT10A	FZD1;LRP6	TIME-L	L	exploratory	13	0.14835164835164835	0.14835164835164835	0.6286094178894163	4	0.3076923076923077				below_min_n (4 < 6)	WNT10A:9/15	FZD1:16/30;LRP6:24/30	secreted	False	True	KEGG: hsa04310; PMID: 23209147
184	LAMA2_ITGA6_ITGB1	LAMA2 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMA2	ITGA6_ITGB1	LAMA2	ITGA6;ITGB1	TIME-B	LB	exploratory	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	3	0.375				below_min_n (3 < 6)	LAMA2:7/8	ITGA6:15/27;ITGB1:26/27	secreted	False	True	KEGG: hsa04512
185	FN1_ITGA5_ITGB1	FN1 - (ITGA5+ITGB1)	FN1	ECM-Receptor	brain	ligand_tumour__receptor_immune	FN1	ITGA5_ITGB1	FN1	ITGA5;ITGB1	LB	TIME-B	exploratory	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	8	1.0	0.14285714285714288	0.7357648598798119	0.0	fitted	FN1:23/27	ITGA5:8/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
186	ITGAV_ITGB1_ADGRE5	(ITGAV+ITGB1) - ADGRE5	ADGRE	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	ITGAV_ITGB1	ADGRE5	ITGAV;ITGB1	ADGRE5	TIME-B	LB	exploratory	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	6	0.75	-0.5428571428571429	0.26570262390670546	-0.6857142857142858	fitted	ITGAV:8/8;ITGB1:8/8	ADGRE5:23/27		True	True	PMID: 31462748
187	COL6A1_ITGA11_ITGB1	COL6A1 - (ITGA11+ITGB1)	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A1	ITGA11_ITGB1	COL6A1	ITGA11;ITGB1	LB	TIME-B	exploratory	8	-0.14285714285714288	0.14285714285714288	0.7357648598798119	4	0.5				below_min_n (4 < 6)	COL6A1:27/27	ITGA11:4/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
188	LAMB2_ITGA1_ITGB1	LAMB2 - (ITGA1+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMB2	ITGA1_ITGB1	LAMB2	ITGA1;ITGB1	LB	TIME-B	exploratory	8	0.14285714285714288	0.14285714285714288	0.7357648598798119	4	0.5				below_min_n (4 < 6)	LAMB2:22/27	ITGA1:5/8;ITGB1:8/8			True	KEGG: hsa04512
189	SEMA3C_NRP1_NRP2	SEMA3C - (NRP1+NRP2)	SEMA3	Secreted Signaling	lung	ligand_tumour__receptor_immune	SEMA3C	NRP1_NRP2	SEMA3C	NRP1;NRP2;PLXND1	L	TIME-L	exploratory	13	0.14285714285714285	0.14285714285714285	0.6415164215860882	4	0.3076923076923077				below_min_n (4 < 6)	SEMA3C:17/30	NRP1:15/15;NRP2:12/15;PLXND1:15/15	secreted	False	True	PMID: 27533782
190	BTC_EGFR_ERBB2	BTC - (EGFR+ERBB2)	EGF	Secreted Signaling	lung	ligand_immune__receptor_tumour	BTC	EGFR_ERBB2	BTC	EGFR;ERBB2	TIME-L	L	exploratory	13	-0.14285714285714285	0.14285714285714285	0.6415164215860882	9	0.6923076923076923	-0.45	0.22421610749233675	-0.30714285714285716	fitted	BTC:14/15	EGFR:25/30;ERBB2:28/30	growth factor	True	True	KEGG: hsa04012
