gene	alias	aoi_label	aoi_code	q3	quantum	implied_counts	counts_reliable	n_genes_sharing_value	negprobe_implied_counts	assessable_in_compartment
CTLA4	CTLA-4	TIME-L30	TIME-L	67.230000000000004	1.4000000000000057	48.02142857142838	True	364	32.392857142857011	True
HAVCR2	TIM-3	TIME-L30	TIME-L	106.45	1.4000000000000057	76.035714285713979	True	97	32.392857142857011	True
IDO1	IDO1	TIME-L30	TIME-L	64.430000000000007	1.4000000000000057	46.021428571428387	True	459	32.392857142857011	True
LAG3	LAG-3	TIME-L30	TIME-L	65.829999999999998	1.4000000000000057	47.02142857142838	True	379	32.392857142857011	False
PDCD1	PD-1	TIME-L30	TIME-L	72.829999999999998	1.4000000000000057	52.021428571428359	True	318	32.392857142857011	True
TIGIT	TIGIT	TIME-L30	TIME-L	58.829999999999998	1.4000000000000057	42.021428571428402	True	493	32.392857142857011	True
VSIR	VISTA	TIME-L30	TIME-L	117.66	1.4000000000000057	84.042857142856803	True	57	32.392857142857011	True
CD274	PD-L1	TIME-L32	TIME-L	142.25	1.1400000000000006	124.7807017543859	True	31	29.307017543859633	True
CD276	B7-H3	TIME-L32	TIME-L	127.45999999999999	1.1400000000000006	111.80701754385959	True	40	29.307017543859633	True
CTLA4	CTLA-4	TIME-L32	TIME-L	92.180000000000007	1.1400000000000006	80.859649122806985	True	126	29.307017543859633	True
HAVCR2	TIM-3	TIME-L32	TIME-L	92.180000000000007	1.1400000000000006	80.859649122806985	True	126	29.307017543859633	True
IDO1	IDO1	TIME-L32	TIME-L	142.25	1.1400000000000006	124.7807017543859	True	31	29.307017543859633	True
LAG3	LAG-3	TIME-L32	TIME-L	69.420000000000002	1.1400000000000006	60.894736842105232	True	201	29.307017543859633	False
PDCD1	PD-1	TIME-L32	TIME-L	78.519999999999996	1.1400000000000006	68.877192982456108	True	185	29.307017543859633	True
TIGIT	TIGIT	TIME-L32	TIME-L	87.629999999999995	1.1400000000000006	76.868421052631533	True	125	29.307017543859633	True
VSIR	VISTA	TIME-L32	TIME-L	211.66999999999999	1.1400000000000006	185.67543859649112	True	12	29.307017543859633	True
CD274	PD-L1	TIME-L35	TIME-L	143.56999999999999	3.5	41.019999999999996	True	73	14.202857142857143	True
CD276	B7-H3	TIME-L35	TIME-L	115.55	3.5	33.014285714285712	True	202	14.202857142857143	True
CTLA4	CTLA-4	TIME-L35	TIME-L	87.540000000000006	3.5	25.011428571428574	True	671	14.202857142857143	True
HAVCR2	TIM-3	TIME-L35	TIME-L	80.540000000000006	3.5	23.011428571428574	True	879	14.202857142857143	True
IDO1	IDO1	TIME-L35	TIME-L	115.55	3.5	33.014285714285712	True	202	14.202857142857143	True
LAG3	LAG-3	TIME-L35	TIME-L	98.049999999999997	3.5	28.014285714285712	True	434	14.202857142857143	False
PDCD1	PD-1	TIME-L35	TIME-L	105.05	3.5	30.014285714285712	True	313	14.202857142857143	True
TIGIT	TIGIT	TIME-L35	TIME-L	59.530000000000001	3.5	17.008571428571429	True	1066	14.202857142857143	True
VSIR	VISTA	TIME-L35	TIME-L	73.530000000000001	3.5	21.008571428571429	True	1022	14.202857142857143	True
CD274	PD-L1	TIME-L40	TIME-L	180.53999999999999	1.5400000000000063	117.23376623376575	True	14	27.811688311688197	True
CD276	B7-H3	TIME-L40	TIME-L	123.45	1.5400000000000063	80.162337662337336	True	48	27.811688311688197	True
CTLA4	CTLA-4	TIME-L40	TIME-L	83.329999999999998	1.5400000000000063	54.11038961038939	True	267	27.811688311688197	True
HAVCR2	TIM-3	TIME-L40	TIME-L	74.069999999999993	1.5400000000000063	48.0974025974024	True	414	27.811688311688197	True
IDO1	IDO1	TIME-L40	TIME-L	94.129999999999995	1.5400000000000063	61.123376623376373	True	207	27.811688311688197	True
LAG3	LAG-3	TIME-L40	TIME-L	75.609999999999999	1.5400000000000063	49.0974025974024	True	389	27.811688311688197	False
PDCD1	PD-1	TIME-L40	TIME-L	77.150000000000006	1.5400000000000063	50.0974025974024	True	357	27.811688311688197	True
TIGIT	TIGIT	TIME-L40	TIME-L	52.469999999999999	1.5400000000000063	34.071428571428434	True	451	27.811688311688197	True
VSIR	VISTA	TIME-L40	TIME-L	112.65000000000001	1.5400000000000063	73.149350649350353	True	93	27.811688311688197	True
CD274	PD-L1	TIME-L43	TIME-L	113.8	1.1999999999999957	94.83333333333367	True	78	41.516666666666815	True
CD276	B7-H3	TIME-L43	TIME-L	143.75	1.1999999999999957	119.7916666666671	True	26	41.516666666666815	True
CTLA4	CTLA-4	TIME-L43	TIME-L	107.81	1.1999999999999957	89.841666666666981	True	101	41.516666666666815	True
HAVCR2	TIM-3	TIME-L43	TIME-L	95.829999999999998	1.1999999999999957	79.858333333333618	True	143	41.516666666666815	True
IDO1	IDO1	TIME-L43	TIME-L	126.98	1.1999999999999957	105.81666666666705	True	36	41.516666666666815	True
LAG3	LAG-3	TIME-L43	TIME-L	74.269999999999996	1.1999999999999957	61.891666666666886	True	317	41.516666666666815	False
PDCD1	PD-1	TIME-L43	TIME-L	107.81	1.1999999999999957	89.841666666666981	True	101	41.516666666666815	True
TIGIT	TIGIT	TIME-L43	TIME-L	71.879999999999995	1.1999999999999957	59.900000000000212	True	365	41.516666666666815	True
VSIR	VISTA	TIME-L43	TIME-L	111.41	1.1999999999999957	92.841666666666995	True	83	41.516666666666815	True
CD274	PD-L1	mLN01	mLN	168.25999999999999	0.38000000000000256	442.78947368420751	True	7	69.947368421052161	True
CD276	B7-H3	mLN01	mLN	206.28999999999999	0.38000000000000256	542.86842105262792	True	6	69.947368421052161	True
CTLA4	CTLA-4	mLN01	mLN	36.880000000000003	0.38000000000000256	97.052631578946716	True	186	69.947368421052161	False
HAVCR2	TIM-3	mLN01	mLN	82.590000000000003	0.38000000000000256	217.34210526315644	True	38	69.947368421052161	False
IDO1	IDO1	mLN01	mLN	49.939999999999998	0.38000000000000256	131.42105263157805	True	100	69.947368421052161	False
LAG3	LAG-3	mLN01	mLN	101.41	0.38000000000000256	266.8684210526298	True	23	69.947368421052161	False
PDCD1	PD-1	mLN01	mLN	63.380000000000003	0.38000000000000256	166.78947368420941	True	65	69.947368421052161	True
TIGIT	TIGIT	mLN01	mLN	55.32	0.38000000000000256	145.57894736842007	True	69	69.947368421052161	False
VSIR	VISTA	mLN01	mLN	53.009999999999998	0.38000000000000256	139.49999999999906	True	56	69.947368421052161	False
CD274	PD-L1	mLN02	mLN	73.549999999999997	0.51000000000000512	144.21568627450836	True	60	47.235294117646582	True
CD276	B7-H3	mLN02	mLN	166.13999999999999	0.51000000000000512	325.76470588234963	True	8	47.235294117646582	True
CTLA4	CTLA-4	mLN02	mLN	64.299999999999997	0.51000000000000512	126.07843137254775	True	73	47.235294117646582	False
HAVCR2	TIM-3	mLN02	mLN	84.870000000000005	0.51000000000000512	166.4117647058807	True	44	47.235294117646582	False
IDO1	IDO1	mLN02	mLN	131.16	0.51000000000000512	257.17647058823269	True	16	47.235294117646582	False
LAG3	LAG-3	mLN02	mLN	104.93000000000001	0.51000000000000512	205.74509803921364	True	35	47.235294117646582	False
PDCD1	PD-1	mLN02	mLN	57.090000000000003	0.51000000000000512	111.94117647058712	True	86	47.235294117646582	True
TIGIT	TIGIT	mLN02	mLN	75.609999999999999	0.51000000000000512	148.25490196078283	True	41	47.235294117646582	False
VSIR	VISTA	mLN02	mLN	115.73	0.51000000000000512	226.92156862744872	True	24	47.235294117646582	False
CD274	PD-L1	mLN03	mLN	88.200000000000003	0.71000000000000085	124.22535211267591	True	57	48.169014084506991	True
CD276	B7-H3	mLN03	mLN	110.95999999999999	0.71000000000000085	156.28169014084489	True	36	48.169014084506991	True
CTLA4	CTLA-4	mLN03	mLN	55.479999999999997	0.71000000000000085	78.140845070422444	True	149	48.169014084506991	False
HAVCR2	TIM-3	mLN03	mLN	61.880000000000003	0.71000000000000085	87.154929577464685	True	102	48.169014084506991	False
IDO1	IDO1	mLN03	mLN	41.960000000000001	0.71000000000000085	59.098591549295705	True	297	48.169014084506991	False
LAG3	LAG-3	mLN03	mLN	41.960000000000001	0.71000000000000085	59.098591549295705	True	297	48.169014084506991	False
PDCD1	PD-1	mLN03	mLN	60.460000000000001	0.71000000000000085	85.154929577464685	True	130	48.169014084506991	True
TIGIT	TIGIT	mLN03	mLN	46.229999999999997	0.71000000000000085	65.112676056337946	True	228	48.169014084506991	False
VSIR	VISTA	mLN03	mLN	94.599999999999994	0.71000000000000085	133.23943661971813	True	62	48.169014084506991	False
CD274	PD-L1	mLN04	mLN	300.88999999999999	0.64999999999999147	462.90769230769837	True	5	56.261538461539203	True
CD276	B7-H3	mLN04	mLN	144.63	0.64999999999999147	222.50769230769521	True	19	56.261538461539203	True
CTLA4	CTLA-4	mLN04	mLN	41.32	0.64999999999999147	63.569230769231602	True	236	56.261538461539203	False
HAVCR2	TIM-3	mLN04	mLN	60.700000000000003	0.64999999999999147	93.384615384616609	True	146	56.261538461539203	False
IDO1	IDO1	mLN04	mLN	74.900000000000006	0.64999999999999147	115.23076923077075	True	97	56.261538461539203	False
LAG3	LAG-3	mLN04	mLN	59.399999999999999	0.64999999999999147	91.384615384616581	True	144	56.261538461539203	False
PDCD1	PD-1	mLN04	mLN	67.799999999999997	0.64999999999999147	104.30769230769367	True	122	56.261538461539203	True
TIGIT	TIGIT	mLN04	mLN	49.07	0.64999999999999147	75.492307692308685	True	234	56.261538461539203	False
VSIR	VISTA	mLN04	mLN	65.859999999999999	0.64999999999999147	101.32307692307825	True	112	56.261538461539203	False
CD274	PD-L1	mLN05	mLN	64.090000000000003	0.73000000000000043	87.794520547945154	True	97	41.397260273972577	True
CD276	B7-H3	mLN05	mLN	114.34999999999999	0.73000000000000043	156.64383561643825	True	20	41.397260273972577	True
CTLA4	CTLA-4	mLN05	mLN	60.450000000000003	0.73000000000000043	82.80821917808214	True	107	41.397260273972577	False
HAVCR2	TIM-3	mLN05	mLN	66.280000000000001	0.73000000000000043	90.794520547945154	True	101	41.397260273972577	False
IDO1	IDO1	mLN05	mLN	100.51000000000001	0.73000000000000043	137.68493150684924	True	49	41.397260273972577	False
LAG3	LAG-3	mLN05	mLN	55.350000000000001	0.73000000000000043	75.821917808219141	True	140	41.397260273972577	False
PDCD1	PD-1	mLN05	mLN	62.640000000000001	0.73000000000000043	85.80821917808214	True	114	41.397260273972577	True
TIGIT	TIGIT	mLN05	mLN	50.979999999999997	0.73000000000000043	69.835616438356112	True	177	41.397260273972577	False
VSIR	VISTA	mLN05	mLN	83.030000000000001	0.73000000000000043	113.7397260273972	True	98	41.397260273972577	False
CD274	PD-L1	mLN06	mLN	79.989999999999995	0.65000000000000213	123.06153846153805	True	86	68.999999999999773	True
CD276	B7-H3	mLN06	mLN	187.28999999999999	0.65000000000000213	288.1384615384606	True	6	68.999999999999773	True
CTLA4	CTLA-4	mLN06	mLN	42.270000000000003	0.65000000000000213	65.030769230769025	True	245	68.999999999999773	False
HAVCR2	TIM-3	mLN06	mLN	59.829999999999998	0.65000000000000213	92.046153846153544	True	152	68.999999999999773	False
IDO1	IDO1	mLN06	mLN	146.31999999999999	0.65000000000000213	225.10769230769156	True	17	68.999999999999773	False
LAG3	LAG-3	mLN06	mLN	64.379999999999995	0.65000000000000213	99.046153846153516	True	113	68.999999999999773	False
PDCD1	PD-1	mLN06	mLN	69.579999999999998	0.65000000000000213	107.04615384615349	True	99	68.999999999999773	True
TIGIT	TIGIT	mLN06	mLN	56.579999999999998	0.65000000000000213	87.046153846153558	True	193	68.999999999999773	False
VSIR	VISTA	mLN06	mLN	59.829999999999998	0.65000000000000213	92.046153846153544	True	152	68.999999999999773	False
CD274	PD-L1	mLN07	mLN	185.40000000000001	0.54999999999999716	337.09090909091083	True	8	57.67272727272757	True
CD276	B7-H3	mLN07	mLN	169.38999999999999	0.54999999999999716	307.98181818181973	True	13	57.67272727272757	True
CTLA4	CTLA-4	mLN07	mLN	63.450000000000003	0.54999999999999716	115.36363636363697	True	85	57.67272727272757	False
HAVCR2	TIM-3	mLN07	mLN	59.039999999999999	0.54999999999999716	107.3454545454551	True	95	57.67272727272757	False
IDO1	IDO1	mLN07	mLN	52.969999999999999	0.54999999999999716	96.30909090909141	True	104	57.67272727272757	False
