cohort	cells_considered	cells_tested	cells_not_assessable	basis
this study (GeoMx)	12	8	4	Phase 2 coverage floor, detected_in_aoi_fraction 0.5 (ADR 0008)
TCGA-LUAD	6	6	0	no detection floor applies — bulk RNA-seq has no negative-probe channel (ADR 0027 §2)
