task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	in_primary	delta_vs_primary
P3-T4	immune	PDCD1	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.0413344901951848	0.0979529532162613	13.1545206217394	-0.252696573949776	0.170027593559406	-0.421983093290982	0.679852304089406	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	3	0.533333333333333	0.375	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	0.0139617647043538
P3-T4	immune	TIGIT	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.548510411013893	0.139243844337072	9.39458955574651	-0.861496605626462	-0.235524216401324	-3.93920760824511	0.0031359948975466	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	1	0.533333333333333	0.125	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	-0.0335600184014588
P3-T4	immune	VSIR	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.146476033543631	0.124107729125859	5.94206937606754	-0.157923755761948	0.45087582284921	1.18023296836805	0.282988122979318	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	14	7	0.933333333333333	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	-0.00306169109646448
P3-T4	immune	CD274	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.260469356874607	0.152795723056328	11.3647106699646	-0.595458410813061	0.0745196970638476	-1.7046901029984	0.11540597618525	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	13	5	0.866666666666667	0.625	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	
P3-T4	immune	CD276	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.0724863674567237	0.132743672800466	11.9923847282112	-0.216757620757658	0.361730355671106	0.546062693064713	0.595035645329442	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	15	8	1	1	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	
P3-T4	immune	CTLA4	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.551604749220235	0.144204396412912	16.115584174963	-0.857126316575928	-0.246083181864542	-3.82515903080224	0.00147435823162413	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	2	0.666666666666667	0.25	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	
P3-T4	immune	HAVCR2	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.180027701084301	0.202420851610728	20.9999999998539	-0.240929504387115	0.600984906555718	0.88937330147444	0.383877623827154	TRUE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	7	0.666666666666667	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	TRUE	
P3-T4	immune	IDO1	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.627090352373627	0.279199616832558	7.88404665941417	-1.27257777843767	0.0183970736904115	-2.24602869978044	0.0553818043350997	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	2	0.533333333333333	0.25	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	
P3-T4	immune	PDCD1	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.0552962548995386	0.0969130450188603	13.6412868541603	-0.263668022448041	0.153075512648964	-0.570575972396466	0.577565464707985	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	3	0.533333333333333	0.375	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	
P3-T4	immune	TIGIT	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.514950392612434	0.132310555305817	11.3584478144767	-0.805046632055919	-0.22485415316895	-3.89198270253042	0.00236686987167383	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	1	0.533333333333333	0.125	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	
P3-T4	immune	VSIR	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.149537724640095	0.12169480998318	6.65957650142586	-0.141233743649648	0.440309192929838	1.22879295066703	0.260794762757068	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	14	7	0.933333333333333	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	
P3-T4	tumour	CD274	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.000257973482935562	0.143615307453079	31.24949065999	-0.292552624668848	0.293068571634719	0.00179628124265127	0.998578194024559	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			TRUE	-0.0232004624845087
P3-T4	tumour	CD276	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.0253770562158581	0.10260020781361	27.6041170305701	-0.235679928425082	0.184925815993366	-0.247339228220276	0.806476141883248	FALSE	57	34	lung	brain	L	LB	30	27	29	26	0.966666666666667	0.962962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			TRUE	0.0177250255543295
P3-T4	tumour	PDCD1	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.0835494317057994	0.0649407810359604	24.5409108393204	-0.050325592343253	0.217424455754852	1.28654799608176	0.210256751787826	FALSE	57	34	lung	brain	L	LB	30	27	12	14	0.4	0.518518518518518	FALSE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			FALSE	-0.0549302077397453
P3-T4	tumour	CD274	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.0291524303487151	0.145918661671474	29.8263526695296	-0.268926003912514	0.327230864609944	0.199785483328718	0.843004242265699	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			TRUE	0.00569399438127089
P3-T4	tumour	CD276	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.0405655578210943	0.101240125067353	26.6575144674907	-0.248418083443564	0.167286967801375	-0.40068656369307	0.691844309929273	FALSE	57	34	lung	brain	L	LB	30	27	29	26	0.966666666666667	0.962962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			TRUE	0.00253652394909322
P3-T4	tumour	PDCD1	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.14220568619348	0.0841601222243665	28.775249358236	-0.029979506078232	0.314390878465191	1.68970389342314	0.101892451134676	FALSE	57	34	lung	brain	L	LB	30	27	12	14	0.4	0.518518518518518	FALSE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			FALSE	0.00372604674793484
P3-T4	tumour	CD274	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.0234584359674442	0.147594263627352	31.0272289576898	-0.277551342607865	0.324468214542754	0.158938670046639	0.87474725378973	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			TRUE	
P3-T4	tumour	CD276	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.0431020817701875	0.0992940478475139	26.8076464168645	-0.246905063074019	0.160700899533643	-0.434085251881155	0.66770027482339	FALSE	57	34	lung	brain	L	LB	30	27	29	26	0.966666666666667	0.962962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			TRUE	
P3-T4	tumour	PDCD1	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.138479639445545	0.0902465623873307	26.6083139099595	-0.0468186375479826	0.323777916439072	1.53445888444151	0.136722830384298	FALSE	57	34	lung	brain	L	LB	30	27	12	14	0.4	0.518518518518518	FALSE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	exploratory		satterthwaite			FALSE	
