rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
393	COL4A2_CD44	COL4A2 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_immune__receptor_tumour	COL4A2	CD44	COL4A2	CD44	TIME-L	L	primary	13	0.1043956043956044	0.1043956043956044	0.7343037452877025	12	0.9230769230769231	-0.027972027972027972	0.9312343512018807	-0.13236763236763238	fitted	COL4A2:15/15	CD44:29/30	secreted	False	True	KEGG: hsa04512
394	FGF21_FGFR1	FGF21 - FGFR1	FGF	Secreted Signaling	lung	ligand_tumour__receptor_immune	FGF21	FGFR1	FGF21	FGFR1	L	TIME-L	primary	13	-0.09890109890109891	0.09890109890109891	0.7478683035983906	7	0.5384615384615384	-0.10714285714285716	0.8191508555699912	-0.008241758241758254	fitted	FGF21:28/30	FGFR1:11/15	growth factor	False	True	PMC: 4393358
395	JAG2_NOTCH2	JAG2 - NOTCH2	NOTCH	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	JAG2	NOTCH2	JAG2	NOTCH2	TIME-L	L	primary	13	-0.09890109890109891	0.09890109890109891	0.7478683035983906	6	0.46153846153846156	-0.6571428571428573	0.1561749271137024	-0.5582417582417584	fitted	JAG2:9/15	NOTCH2:26/30		True	True	PMID: 22353464
396	SEMA4D_PLXNB2	SEMA4D - PLXNB2	SEMA4	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	SEMA4D	PLXNB2	SEMA4D	PLXNB2	L	TIME-L	primary	13	0.09890109890109891	0.09890109890109891	0.7478683035983906	11	0.8461538461538461	0.009090909090909092	0.9788365001441937	-0.08981018981018982	fitted	SEMA4D:22/30	PLXNB2:15/15		True	True	PMID: 27533782
397	PROS1_TYRO3	PROS1 - TYRO3	PROS	Secreted Signaling	lung	ligand_immune__receptor_tumour	PROS1	TYRO3	PROS1	TYRO3	TIME-L	L	primary	13	0.09628619837912766	0.09628619837912766	0.7543476386857775	3	0.23076923076923078				below_min_n (3 < 6)	PROS1:14/15	TYRO3:15/30			True	PMID: 30501104
398	IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF2	IGF1R	IGF2	IGF1R	TIME-B	LB	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	3	0.375				below_min_n (3 < 6)	IGF2:4/8	IGF1R:25/27	growth factor;hormone	False	True	PMID: 14604834
399	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMA5	CD44	LAMA5	CD44	LB	TIME-B	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	8	1.0	-0.09523809523809526	0.8225054302036114	0.0	fitted	LAMA5:26/27	CD44:8/8			True	KEGG: hsa04512
400	PTPRM_PTPRM	PTPRM - PTPRM	PTPRM	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	PTPRM	PTPRM	PTPRM	PTPRM	LB	TIME-B	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	5	0.625				below_min_n (5 < 6)	PTPRM:19/27	PTPRM:7/8				KEGG: hsa04514
401	CD46_JAG1	CD46 - JAG1	CD46	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	CD46	JAG1	CD46	JAG1	LB	TIME-B	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	8	1.0	0.09523809523809526	0.8225054302036114	0.0	fitted	CD46:26/27	JAG1:8/8		True	True	PMID: 23086448
402	ICAM1_SPN	ICAM1 - SPN	ICAM	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	ICAM1	SPN	ICAM1	SPN	TIME-B	LB	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	7	0.875	0.10714285714285716	0.8191508555699912	0.20238095238095244	fitted	ICAM1:7/8	SPN:17/27		True	True	PMID: 1683685
403	COL4A2_GP6	COL4A2 - GP6	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL4A2	GP6	COL4A2	GP6	TIME-B	LB	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	8	1.0	-0.09523809523809526	0.8225054302036114	0.0	fitted	COL4A2:8/8	GP6:25/27	secreted	False		KEGG: hsa04512
404	COL1A2_GP6	COL1A2 - GP6	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL1A2	GP6	COL1A2	GP6	LB	TIME-B	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	8	1.0	-0.09523809523809526	0.8225054302036114	0.0	fitted	COL1A2:27/27	GP6:8/8	secreted	False		KEGG: hsa04512
405	COL4A1_ADGRG6	COL4A1 - ADGRG6	ADGRG	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	COL4A1	ADGRG6	COL4A1	ADGRG6	TIME-B	LB	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	6	0.75	0.3714285714285715	0.4684781341107872	0.4666666666666668	fitted	COL4A1:8/8	ADGRG6:18/27	secreted	False	True	PMID: 31462748
406	COL1A1_SDC4	COL1A1 - SDC4	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL1A1	SDC4	COL1A1	SDC4	TIME-B	LB	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	7	0.875	0.3571428571428572	0.43161135203832796	0.45238095238095244	fitted	COL1A1:8/8	SDC4:26/27	secreted	False		KEGG: hsa04512
407	LAMA2_ADGRG6	LAMA2 - ADGRG6	ADGRG	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	LAMA2	ADGRG6	LAMA2	ADGRG6	TIME-B	LB	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	5	0.625				below_min_n (5 < 6)	LAMA2:7/8	ADGRG6:18/27	secreted	False	True	PMID: 31462748
408	PTPRM_PTPRM	PTPRM - PTPRM	PTPRM	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	PTPRM	PTPRM	PTPRM	PTPRM	TIME-B	LB	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	5	0.625				below_min_n (5 < 6)	PTPRM:7/8	PTPRM:19/27				KEGG: hsa04514
409	SEMA4C_PLXNB2	SEMA4C - PLXNB2	SEMA4	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	SEMA4C	PLXNB2	SEMA4C	PLXNB2	TIME-B	LB	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	5	0.625				below_min_n (5 < 6)	SEMA4C:5/8	PLXNB2:27/27		True	True	PMID: 27533782
410	LAMB3_CD44	LAMB3 - CD44	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMB3	CD44	LAMB3	CD44	LB	TIME-B	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	6	0.75	0.028571428571428574	0.9571545189504373	-0.06666666666666668	fitted	LAMB3:22/27	CD44:8/8			True	KEGG: hsa04512
411	LAMA2_DAG1	LAMA2 - DAG1	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMA2	DAG1	LAMA2	DAG1	TIME-B	LB	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	6	0.75	0.08571428571428573	0.8717434402332361	-0.009523809523809532	fitted	LAMA2:7/8	DAG1:24/27	secreted	False	True	KEGG: hsa04512
412	LAMB2_DAG1	LAMB2 - DAG1	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMB2	DAG1	LAMB2	DAG1	TIME-B	LB	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	7	0.875	0.25	0.5887244480896834	0.15476190476190474	fitted	LAMB2:8/8	DAG1:24/27			True	KEGG: hsa04512
413	LAMA5_DAG1	LAMA5 - DAG1	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMA5	DAG1	LAMA5	DAG1	TIME-B	LB	primary	8	0.09523809523809526	0.09523809523809526	0.8225054302036114	4	0.5				below_min_n (4 < 6)	LAMA5:4/8	DAG1:24/27			True	KEGG: hsa04512
414	CD99_PILRB	Cd99 - Pilrb	CD99	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	CD99	PILRB	CD99	PILRB	LB	TIME-B	primary	8	-0.09523809523809526	0.09523809523809526	0.8225054302036114	8	1.0	-0.09523809523809526	0.8225054302036114	0.0	fitted	CD99:27/27	PILRB:8/8		True	True	uniprot;PMID:18234675
415	HLA-DRB1_CD4	HLA-DRB1 - CD4	MHC-II	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	HLA-DRB1	CD4	HLA-DRB1	CD4	TIME-L	L	primary	13	0.0934065934065934	0.0934065934065934	0.7615000227827018	8	0.6153846153846154	-0.023809523809523815	0.9553740118158806	-0.11721611721611722	fitted	HLA-DRB1:15/15	CD4:18/30				KEGG: hsa04514
416	COMP_CD47	COMP - CD47	THBS	ECM-Receptor	lung	ligand_immune__receptor_tumour	COMP	CD47	COMP	CD47	TIME-L	L	primary	13	-0.0934065934065934	0.0934065934065934	0.7615000227827018	6	0.46153846153846156	-0.3142857142857143	0.5440932944606415	-0.22087912087912087	fitted	COMP:8/15	CD47:29/30			True	KEGG: hsa04512
417	THBS1_SDC1	THBS1 - SDC1	THBS	ECM-Receptor	lung	ligand_tumour__receptor_immune	THBS1	SDC1	THBS1	SDC1	L	TIME-L	primary	13	0.0934065934065934	0.0934065934065934	0.7615000227827018	8	0.6153846153846154	0.4285714285714286	0.2894032248467902	0.3351648351648352	fitted	THBS1:25/30	SDC1:11/15		False	True	KEGG: hsa04512
418	COL4A1_CD44	COL4A1 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL4A1	CD44	COL4A1	CD44	L	TIME-L	primary	13	0.0934065934065934	0.0934065934065934	0.7615000227827018	4	0.3076923076923077				below_min_n (4 < 6)	COL4A1:18/30	CD44:15/15	secreted	False	True	KEGG: hsa04512
419	PTPRC_CD22	PTPRC - CD22	CD45	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	PTPRC	CD22	PTPRC	CD22	L	TIME-L	primary	13	0.0879120879120879	0.0879120879120879	0.775195408889122	7	0.5384615384615384	-0.07142857142857144	0.8790481931481541	-0.15934065934065933	fitted	PTPRC:17/30	CD22:15/15		True	True	PMID: 12115612
420	PROS1_AXL	PROS1 - AXL	PROS	Secreted Signaling	lung	ligand_tumour__receptor_immune	PROS1	AXL	PROS1	AXL	L	TIME-L	primary	13	-0.0879120879120879	0.0879120879120879	0.775195408889122	7	0.5384615384615384	-0.03571428571428572	0.9394082054712856	0.052197802197802186	fitted	PROS1:16/30	AXL:14/15			True	PMID: 29531161
421	SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	lung	ligand_immune__receptor_tumour	SPP1	CD44	SPP1	CD44	TIME-L	L	primary	13	-0.0879120879120879	0.0879120879120879	0.775195408889122	9	0.6923076923076923	0.19999999999999998	0.6059012741795534	0.2879120879120879	fitted	SPP1:11/15	CD44:29/30	cytokine	False	True	PMID: 21907263
422	COL6A1_CD44	COL6A1 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL6A1	CD44	COL6A1	CD44	L	TIME-L	primary	13	0.08241758241758242	0.08241758241758242	0.788950927847518	13	1.0	0.08241758241758242	0.788950927847518	0.0	fitted	COL6A1:30/30	CD44:15/15	secreted	False	True	KEGG: hsa04512
423	MDK_SDC4	MDK - SDC4	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	SDC4	MDK	SDC4	TIME-L	L	primary	13	0.08241758241758242	0.08241758241758242	0.788950927847518	13	1.0	0.08241758241758242	0.788950927847518	0.0	fitted	MDK:15/15	SDC4:30/30	growth factor	False		PMID: 28356350
424	LAMB1_DAG1	LAMB1 - DAG1	LAMININ	ECM-Receptor	lung	ligand_immune__receptor_tumour	LAMB1	DAG1	LAMB1	DAG1	TIME-L	L	primary	13	0.08241758241758242	0.08241758241758242	0.788950927847518	11	0.8461538461538461	0.17272727272727276	0.611542384851237	0.09030969030969034	fitted	LAMB1:15/15	DAG1:28/30			True	KEGG: hsa04512
425	HLA-DMB_CD4	HLA-DMB - CD4	MHC-II	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	HLA-DMB	CD4	HLA-DMB	CD4	TIME-L	L	primary	13	0.08241758241758242	0.08241758241758242	0.788950927847518	8	0.6153846153846154	0.04761904761904763	0.9108491685195836	-0.034798534798534786	fitted	HLA-DMB:15/15	CD4:18/30				KEGG: hsa04514
426	COL6A1_SDC1	COL6A1 - SDC1	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL6A1	SDC1	COL6A1	SDC1	L	TIME-L	primary	13	-0.08241758241758242	0.08241758241758242	0.788950927847518	10	0.7692307692307693	0.19999999999999998	0.5795840000000001	0.2824175824175824	fitted	COL6A1:30/30	SDC1:11/15	secreted	False	True	KEGG: hsa04512
427	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	HLA-G	CD8A	HLA-G	CD8A	L	TIME-L	primary	13	-0.08241758241758242	0.08241758241758242	0.788950927847518	5	0.38461538461538464				below_min_n (5 < 6)	HLA-G:15/30	CD8A:12/15		True	True	KEGG: hsa04514
428	HLA-DOB_CD4	HLA-DOB - CD4	MHC-II	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	HLA-DOB	CD4	HLA-DOB	CD4	TIME-L	L	primary	13	0.08241758241758242	0.08241758241758242	0.788950927847518	6	0.46153846153846156	0.48571428571428577	0.3287230320699708	0.40329670329670336	fitted	HLA-DOB:12/15	CD4:18/30				KEGG: hsa04514
429	HLA-DMA_CD4	HLA-DMA - CD4	MHC-II	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	HLA-DMA	CD4	HLA-DMA	CD4	TIME-L	L	primary	13	0.07692307692307691	0.07692307692307691	0.8027630076692551	7	0.5384615384615384	0.14285714285714288	0.7599453002180928	0.06593406593406596	fitted	HLA-DMA:14/15	CD4:18/30				KEGG: hsa04514
430	CXCL8_CXCR2	CXCL8 - CXCR2	CXCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CXCL8	CXCR2	CXCL8	CXCR2	L	TIME-L	primary	13	0.07692307692307691	0.07692307692307691	0.8027630076692551	5	0.38461538461538464				below_min_n (5 < 6)	CXCL8:17/30	CXCR2:11/15	cytokine	False	True	KEGG: hsa04060
431	GZMA_PARD3	GZMA - PARD3	PARs	Secreted Signaling	lung	ligand_immune__receptor_tumour	GZMA	PARD3	GZMA	PARD3	TIME-L	L	primary	13	0.07692307692307691	0.07692307692307691	0.8027630076692551	3	0.23076923076923078				below_min_n (3 < 6)	GZMA:8/15	PARD3:15/30				KEGG: hsa04080
432	AGRN_DAG1	AGRN - DAG1	AGRN	ECM-Receptor	lung	ligand_immune__receptor_tumour	AGRN	DAG1	AGRN	DAG1	TIME-L	L	primary	13	0.07692307692307691	0.07692307692307691	0.8027630076692551	8	0.6153846153846154	0.09523809523809526	0.8225054302036114	0.018315018315018347	fitted	AGRN:11/15	DAG1:28/30	secreted	True	True	KEGG: hsa04512
433	COL4A2_SDC1	COL4A2 - SDC1	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL4A2	SDC1	COL4A2	SDC1	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	8	1.0	0.07142857142857144	0.8665262706759087	0.0	fitted	COL4A2:8/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512
434	LAMC3_CD44	LAMC3 - CD44	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMC3	CD44	LAMC3	CD44	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	4	0.5				below_min_n (4 < 6)	LAMC3:5/8	CD44:25/27			True	KEGG: hsa04512
435	THY1_ADGRE5	THY1 - ADGRE5	ADGRE	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	THY1	ADGRE5	THY1	ADGRE5	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	6	0.75	-0.6571428571428573	0.1561749271137024	-0.7285714285714286	fitted	THY1:8/8	ADGRE5:23/27		True	True	PMID: 31462748
436	COL6A1_CD44	COL6A1 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL6A1	CD44	COL6A1	CD44	TIME-B	LB	primary	8	-0.07142857142857144	0.07142857142857144	0.8665262706759087	7	0.875	0.39285714285714296	0.3833168704269725	0.4642857142857144	fitted	COL6A1:8/8	CD44:25/27	secreted	False	True	KEGG: hsa04512
437	THBS2_SDC1	THBS2 - SDC1	THBS	ECM-Receptor	brain	ligand_immune__receptor_tumour	THBS2	SDC1	THBS2	SDC1	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	8	1.0	0.07142857142857144	0.8665262706759087	0.0	fitted	THBS2:8/8	SDC1:25/27		False	True	KEGG: hsa04512
438	NEGR1_NEGR1	NEGR1 - NEGR1	NEGR	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	NEGR1	NEGR1	NEGR1	NEGR1	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	7	0.875	0.21428571428571433	0.6445115810207203	0.1428571428571429	fitted	NEGR1:7/8	NEGR1:25/27				KEGG: hsa04514
439	LRFN4_PTPRS	LRFN4 - PTPRS	PTPR	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	LRFN4	PTPRS	LRFN4	PTPRS	LB	TIME-B	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	2	0.25				below_min_n (2 < 6)	LRFN4:16/27	PTPRS:4/8		True	True	PMID: 29674953;PMID: 23916315
440	LAMC3_DAG1	LAMC3 - DAG1	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMC3	DAG1	LAMC3	DAG1	TIME-B	LB	primary	8	-0.07142857142857144	0.07142857142857144	0.8665262706759087	4	0.5				below_min_n (4 < 6)	LAMC3:5/8	DAG1:24/27			True	KEGG: hsa04512
441	COL4A2_CD44	COL4A2 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL4A2	CD44	COL4A2	CD44	TIME-B	LB	primary	8	-0.07142857142857144	0.07142857142857144	0.8665262706759087	7	0.875	0.0	1.0	0.07142857142857144	fitted	COL4A2:8/8	CD44:25/27	secreted	False	True	KEGG: hsa04512
442	THBS1_SDC4	THBS1 - SDC4	THBS	ECM-Receptor	brain	ligand_immune__receptor_tumour	THBS1	SDC4	THBS1	SDC4	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	7	0.875	0.1785714285714286	0.7016579425162728	0.10714285714285716	fitted	THBS1:8/8	SDC4:26/27		False		KEGG: hsa04512
443	DLL3_NOTCH2	DLL3 - NOTCH2	NOTCH	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	DLL3	NOTCH2	DLL3	NOTCH2	TIME-B	LB	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	3	0.375				below_min_n (3 < 6)	DLL3:4/8	NOTCH2:23/27		True	True	PMID: 22353464
444	NEGR1_NEGR1	NEGR1 - NEGR1	NEGR	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	NEGR1	NEGR1	NEGR1	NEGR1	LB	TIME-B	primary	8	0.07142857142857144	0.07142857142857144	0.8665262706759087	7	0.875	0.21428571428571433	0.6445115810207203	0.1428571428571429	fitted	NEGR1:25/27	NEGR1:7/8				KEGG: hsa04514
445	LAMC1_CD44	LAMC1 - CD44	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC1	CD44	LAMC1	CD44	LB	TIME-B	primary	8	-0.07142857142857144	0.07142857142857144	0.8665262706759087	8	1.0	-0.07142857142857144	0.8665262706759087	0.0	fitted	LAMC1:26/27	CD44:8/8	secreted	False	True	KEGG: hsa04512
446	HLA-DOA_CD4	HLA-DOA - CD4	MHC-II	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	HLA-DOA	CD4	HLA-DOA	CD4	TIME-L	L	primary	13	0.07142857142857142	0.07142857142857142	0.8166280406760862	6	0.46153846153846156	0.028571428571428574	0.9571545189504373	-0.04285714285714285	fitted	HLA-DOA:12/15	CD4:18/30				KEGG: hsa04514
447	LPAR2_ADGRE5	LPAR2 - ADGRE5	ADGRE	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	LPAR2	ADGRE5	LPAR2	ADGRE5	TIME-L	L	primary	13	-0.07142857142857142	0.07142857142857142	0.8166280406760862	8	0.6153846153846154	0.38095238095238104	0.3518125531175649	0.45238095238095244	fitted	LPAR2:11/15	ADGRE5:28/30		True	True	PMID: 31462748
448	THY1_ADGRE5	THY1 - ADGRE5	ADGRE	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	THY1	ADGRE5	THY1	ADGRE5	TIME-L	L	primary	13	0.07142857142857142	0.07142857142857142	0.8166280406760862	11	0.8461538461538461	-0.16363636363636366	0.6306852146425358	-0.2350649350649351	fitted	THY1:15/15	ADGRE5:28/30		True	True	PMID: 31462748
449	COL6A1_CD44	COL6A1 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_immune__receptor_tumour	COL6A1	CD44	COL6A1	CD44	TIME-L	L	primary	13	0.06593406593406594	0.06593406593406594	0.830542385756094	12	0.9230769230769231	-0.18881118881118883	0.5567370561768314	-0.2547452547452548	fitted	COL6A1:15/15	CD44:29/30	secreted	False	True	KEGG: hsa04512
450	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	SDC1	MDK	SDC1	TIME-L	L	primary	13	0.06593406593406594	0.06593406593406594	0.830542385756094	13	1.0	0.06593406593406594	0.830542385756094	0.0	fitted	MDK:15/15	SDC1:29/30	growth factor	False	True	PMID: 28356350
451	THBS1_CD47	THBS1 - CD47	THBS	ECM-Receptor	lung	ligand_immune__receptor_tumour	THBS1	CD47	THBS1	CD47	TIME-L	L	primary	13	-0.06043956043956044	0.06043956043956044	0.8445023706449681	12	0.9230769230769231	-0.2937062937062937	0.3541476412329215	-0.23326673326673325	fitted	THBS1:15/15	CD47:29/30		False	True	KEGG: hsa04512
452	COL9A2_SDC4	COL9A2 - SDC4	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL9A2	SDC4	COL9A2	SDC4	L	TIME-L	primary	13	0.06043956043956044	0.06043956043956044	0.8445023706449681	8	0.6153846153846154	0.4047619047619048	0.3198886412288164	0.3443223443223444	fitted	COL9A2:25/30	SDC4:13/15	secreted	False		KEGG: hsa04512
453	CD46_JAG1	CD46 - JAG1	CD46	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	CD46	JAG1	CD46	JAG1	L	TIME-L	primary	13	-0.06043956043956044	0.06043956043956044	0.8445023706449681	12	0.9230769230769231	0.11188811188811189	0.729194990751066	0.17232767232767232	fitted	CD46:30/30	JAG1:14/15		True	True	PMID: 23086448
454	COL1A2_SDC1	COL1A2 - SDC1	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL1A2	SDC1	COL1A2	SDC1	L	TIME-L	primary	13	0.06043956043956044	0.06043956043956044	0.8445023706449681	10	0.7692307692307693	0.13939393939393938	0.7009318849100583	0.07895437895437893	fitted	COL1A2:30/30	SDC1:11/15	secreted	False	True	KEGG: hsa04512
455	LAMB1_CD44	LAMB1 - CD44	LAMININ	ECM-Receptor	lung	ligand_tumour__receptor_immune	LAMB1	CD44	LAMB1	CD44	L	TIME-L	primary	13	0.054945054945054944	0.054945054945054944	0.8585042942308734	4	0.3076923076923077				below_min_n (4 < 6)	LAMB1:15/30	CD44:15/15			True	KEGG: hsa04512
456	HLA-F_KIR3DL1	HLA-F - KIR3DL1	MHC-I	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	HLA-F	KIR3DL1	HLA-F	KIR3DL1	TIME-L	L	primary	13	0.054945054945054944	0.054945054945054944	0.8585042942308734	13	1.0	0.054945054945054944	0.8585042942308734	0.0	fitted	HLA-F:15/15	KIR3DL1:30/30		True	True	PMID: 28484462
457	APP_TNFRSF21	APP - TNFRSF21	APP	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	APP	TNFRSF21	APP	TNFRSF21	L	TIME-L	primary	13	-0.054945054945054944	0.054945054945054944	0.8585042942308734	10	0.7692307692307693	-0.41818181818181815	0.22911284098281895	-0.36323676323676324	fitted	APP:30/30	TNFRSF21:12/15		True	True	PMID: 33075465
458	MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	LRP1	MDK	LRP1	L	TIME-L	primary	13	0.0522696505486693	0.0522696505486693	0.8653362257711974	13	1.0	0.0522696505486693	0.8653362257711974	0.0	fitted	MDK:30/30	LRP1:15/15	growth factor	False		PMID: 28356350
459	COL9A2_GP6	COL9A2 - GP6	COLLAGEN	ECM-Receptor	lung	ligand_immune__receptor_tumour	COL9A2	GP6	COL9A2	GP6	TIME-L	L	primary	13	0.049450549450549455	0.049450549450549455	0.8725444288811492	5	0.38461538461538464				below_min_n (5 < 6)	COL9A2:8/15	GP6:29/30	secreted	False		KEGG: hsa04512
460	MDK_NCL	MDK - NCL	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	NCL	MDK	NCL	TIME-L	L	primary	13	-0.049450549450549455	0.049450549450549455	0.8725444288811492	13	1.0	-0.049450549450549455	0.8725444288811492	0.0	fitted	MDK:15/15	NCL:30/30	growth factor	False		PMID: 28356350
461	COL4A1_SDC4	COL4A1 - SDC4	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL4A1	SDC4	COL4A1	SDC4	L	TIME-L	primary	13	0.049450549450549455	0.049450549450549455	0.8725444288811492	3	0.23076923076923078				below_min_n (3 < 6)	COL4A1:18/30	SDC4:13/15	secreted	False		KEGG: hsa04512
462	ANGPTL4_SDC2	ANGPTL4 - SDC2	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC2	ANGPTL4	SDC2	LB	TIME-B	primary	8	0.04761904761904763	0.04761904761904763	0.9108491685195836	3	0.375				below_min_n (3 < 6)	ANGPTL4:14/27	SDC2:4/8			True	PMID: 29017031
463	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	brain	ligand_tumour__receptor_immune	CCL3	CCR1	CCL3	CCR1	LB	TIME-B	primary	8	0.04761904761904763	0.04761904761904763	0.9108491685195836	3	0.375				below_min_n (3 < 6)	CCL3:20/27	CCR1:4/8	cytokine	False	True	KEGG: hsa04060
464	LAMA5_CD44	LAMA5 - CD44	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMA5	CD44	LAMA5	CD44	TIME-B	LB	primary	8	-0.04761904761904763	0.04761904761904763	0.9108491685195836	3	0.375				below_min_n (3 < 6)	LAMA5:4/8	CD44:25/27			True	KEGG: hsa04512
465	F11R_F11R	F11R - F11R	JAM	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	F11R	F11R	F11R	F11R	TIME-B	LB	primary	8	-0.04761904761904763	0.04761904761904763	0.9108491685195836	5	0.625				below_min_n (5 < 6)	F11R:5/8	F11R:26/27		True	True	KEGG: hsa04514
