rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
339	COL6A1_SDC1	COL6A1 - SDC1	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL6A1	SDC1	COL6A1	SDC1	TIME-B	LB	primary	8	-0.1666666666666667	0.1666666666666667	0.6932388117283949	8	1.0	-0.1666666666666667	0.6932388117283949	0.0	fitted	COL6A1:8/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512
340	JAG1_NOTCH4	JAG1 - NOTCH4	NOTCH	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	JAG1	NOTCH4	JAG1	NOTCH4	LB	TIME-B	primary	8	-0.1666666666666667	0.1666666666666667	0.6932388117283949	1	0.125				below_min_n (1 < 6)	JAG1:16/27	NOTCH4:4/8		True	True	PMID: 22353464
341	COL6A3_SDC1	COL6A3 - SDC1	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL6A3	SDC1	COL6A3	SDC1	L	TIME-L	primary	13	0.15934065934065936	0.15934065934065936	0.6030877531318972	5	0.38461538461538464				below_min_n (5 < 6)	COL6A3:19/30	SDC1:11/15	secreted	False	True	KEGG: hsa04512
342	GRN_SORT1	GRN - SORT1	GRN	Secreted Signaling	lung	ligand_immune__receptor_tumour	GRN	SORT1	GRN	SORT1	TIME-L	L	primary	13	0.15934065934065936	0.15934065934065936	0.6030877531318972	8	0.6153846153846154	0.5714285714285715	0.13895995716070678	0.4120879120879122	fitted	GRN:15/15	SORT1:20/30			True	PMID: 29555433
343	SEMA4A_PLXNB1	SEMA4A - PLXNB1	SEMA4	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	SEMA4A	PLXNB1	SEMA4A	PLXNB1	TIME-L	L	primary	13	-0.15384615384615383	0.15384615384615383	0.6157988686488813	9	0.6923076923076923	0.16666666666666669	0.668231040071504	0.3205128205128205	fitted	SEMA4A:13/15	PLXNB1:27/30		True	True	PMID: 27533782
344	CXCL1_CXCR2	CXCL1 - CXCR2	CXCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CXCL1	CXCR2	CXCL1	CXCR2	L	TIME-L	primary	13	0.15384615384615383	0.15384615384615383	0.6157988686488813	6	0.46153846153846156	0.5428571428571429	0.26570262390670546	0.38901098901098907	fitted	CXCL1:15/30	CXCR2:11/15	cytokine;growth factor	False	True	KEGG: hsa04060
345	MDK_LRP1	MDK - LRP1	MK	Secreted Signaling	lung	ligand_immune__receptor_tumour	MDK	LRP1	MDK	LRP1	TIME-L	L	primary	13	0.15384615384615383	0.15384615384615383	0.6157988686488813	11	0.8461538461538461	-0.1272727272727273	0.709214625773305	-0.2811188811188811	fitted	MDK:15/15	LRP1:27/30	growth factor	False		PMID: 28356350
346	CD55_ADGRE5	CD55 - ADGRE5	ADGRE	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	CD55	ADGRE5	CD55	ADGRE5	TIME-L	L	primary	13	-0.15384615384615383	0.15384615384615383	0.6157988686488813	11	0.8461538461538461	-0.4090909090909091	0.211545010342096	-0.2552447552447553	fitted	CD55:14/15	ADGRE5:28/30	secreted	True	True	PMID: 31462748
347	CD6_ALCAM	CD6 - ALCAM	CD6	Cell-Cell Contact	lung	ligand_immune__receptor_tumour	CD6	ALCAM	CD6	ALCAM	TIME-L	L	primary	13	-0.15384615384615383	0.15384615384615383	0.6157988686488813	7	0.5384615384615384	-0.42857142857142866	0.3373683110858241	-0.27472527472527486	fitted	CD6:10/15	ALCAM:29/30	secreted	True	True	PMID: 23602662
348	FN1_SDC1	FN1 - SDC1	FN1	ECM-Receptor	lung	ligand_tumour__receptor_immune	FN1	SDC1	FN1	SDC1	L	TIME-L	primary	13	0.15384615384615383	0.15384615384615383	0.6157988686488813	9	0.6923076923076923	0.75	0.01994212613199253	0.5961538461538461	fitted	FN1:29/30	SDC1:11/15	secreted	False	True	KEGG: hsa04512
