task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	q_bh	delta_vs_primary
P3-T3	lung	CD276	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.160456516850885	0.137972358716282	16.57740609228	-0.131206021279732	0.452119054981503	1.16296132315052	0.261313273864493	FALSE	45	30	tumour	immune	L	TIME-L	30	15	29	15	0.966666666666667	1	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	modelled		satterthwaite			0.261313273864493	0.013677341412895
P3-T3	lung	CD274	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.612077167012486	0.119682168718897	18.2038394220198	0.36083592694904	0.863318407075932	5.11418846737396	7.0127941645698e-05	FALSE	45	30	tumour	immune	L	TIME-L	30	15	19	13	0.633333333333333	0.866666666666667	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	modelled		satterthwaite			0.000140255883291396	
P3-T3	lung	CD276	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.146779175437991	0.133568885719136	14.590103694664	-0.138614376303975	0.432172727179956	1.09890244758523	0.289613926502889	FALSE	45	30	tumour	immune	L	TIME-L	30	15	29	15	0.966666666666667	1	TRUE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958	permissive	modelled		satterthwaite			0.289613926502889	
P3-T3	lung	CTLA4														tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in L (2/30)	satterthwaite				
P3-T3	lung	HAVCR2														tumour	immune	L	TIME-L	30	15	2	10	0.0666666666666667	0.666666666666667	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in L (2/30)	satterthwaite				
P3-T3	lung	IDO1														tumour	immune	L	TIME-L	30	15	9	8	0.3	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in L (9/30)	satterthwaite				
P3-T3	lung	LAG3														tumour	immune	L	TIME-L	30	15	2	6	0.0666666666666667	0.4	FALSE	FALSE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in either group (L 2/30, TIME-L 6/15)	satterthwaite				
P3-T3	lung	PDCD1														tumour	immune	L	TIME-L	30	15	12	8	0.4	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in L (12/30)	satterthwaite				
P3-T3	lung	TIGIT														tumour	immune	L	TIME-L	30	15	0	8	0	0.533333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in L (0/30)	satterthwaite				
P3-T3	lung	VSIR														tumour	immune	L	TIME-L	30	15	8	14	0.266666666666667	0.933333333333333	FALSE	TRUE	4.91207571629686	5.32300971061281	0.410933994315958		not_assessable	not assessable in L (8/30)	satterthwaite				
