compartment	gene	patient_id	lung	brain	delta_brain_minus_lung	detected_lung	detected_brain
tumour	CD276	P16	6.9134878407151641	6.7603540302764733	-0.15313381043869079	True	True
tumour	CD276	P17	7.7048028152224672	7.190812367916136	-0.51399044730633126	True	True
tumour	CD276	P18	6.5695518510836131	7.0340836266154163	0.46453177553180325	True	True
tumour	CD276	P19	7.4034381630082793	6.6877605840703458	-0.71567757893793349	True	True
tumour	CD276	P2	8.0869853999278227	7.9068304820627739	-0.18015491786504878	True	True
tumour	CD276	P20	7.1728275072730918	6.7296887134496792	-0.44313879382341259	True	False
tumour	CD276	P21	7.4562311903406746	7.2005553572321173	-0.25567583310855735	True	True
tumour	CD276	P24	7.0051753913319406	7.2073072234453921	0.20213183211345154	True	True
tumour	CD276	P3	7.4087118610294285	6.962317654942308	-0.44639420608712044	True	True
tumour	CD276	P34	6.4321242726415617	6.7673899620657192	0.33526568942415746	True	True
tumour	CD276	P35	7.0051753913319406	6.3337815006311518	-0.67139389070078881	True	True
tumour	CD276	P37	7.4074377330291989	6.8915407025371076	-0.51589703049209135	True	True
tumour	CD276	P4	7.3977174105213503	7.3729520979118295	-0.024765312609520862	True	True
tumour	CD276	P40	6.32499056912157	6.8660424970968368	0.5410519279752668	True	True
tumour	CD276	P44	7.7117702038631908	8.4559847092259961	0.74421450536280531	True	True
tumour	CD276	P5	7.558344175692536	7.8115352516360756	0.25319107594353962	True	True
tumour	CD276	P7	8.0213131504787683	6.8766397238971777	-1.1446734265815905	True	True
tumour	CD276	P9	8.9392853564786865	8.6991212694417026	-0.24016408703698389	True	True
tumour	CTLA4	P1	5.5722833666504101	6.3015876466031866	0.72930427995277647	False	True
tumour	CTLA4	P12	5.0772429989324603	5.5106455040900402	0.43340250515757983	False	False
tumour	CTLA4	P13	4.8801957289430984	5.4564776293518165	0.57628190040871807	False	False
tumour	CTLA4	P14	5.8029686510055827	5.1477137223521536	-0.65525492865342905	False	False
tumour	CTLA4	P15	5.3139713710590195	5.0148016023513611	-0.29916976870765843	False	False
tumour	CTLA4	P16	5.3736482113346904	5.046578366620329	-0.3270698447143614	False	False
tumour	CTLA4	P17	4.9349882017834776	5.5747070464155462	0.63971884463206852	False	False
tumour	CTLA4	P18	5.900625332536066	5.0004507717708568	-0.90017456076520919	False	False
tumour	CTLA4	P19	4.7990873060740036	5.0356239097307212	0.23653660365671758	False	False
tumour	CTLA4	P2	4.8459917706645728	4.8369340113210919	-0.0090577593434808534	False	False
tumour	CTLA4	P20	5.056149961108142	5.5397791916984938	0.48362923059035179	False	False
tumour	CTLA4	P21	4.8509993947164736	4.2280490478844621	-0.62295034683201145	False	False
tumour	CTLA4	P24	6.2925977202664525	5.728464765092534	-0.56413295517391848	True	False
tumour	CTLA4	P3	4.8836208162856716	5.4114262457264646	0.52780542944079301	False	False
tumour	CTLA4	P34	5.3515576624504257	5.232660756790275	-0.11889690566015076	False	False
tumour	CTLA4	P35	5.3912865581111848	6.3337815006311518	0.94249494251996691	False	True
tumour	CTLA4	P37	5.4979316518962786	5.4389581478975497	-0.058973503998728916	False	False
tumour	CTLA4	P4	4.9905011113632511	4.823239844131022	-0.16726126723222912	False	False
tumour	CTLA4	P40	5.1147834472498515	6.2014378295040338	1.0866543822541823	False	False
tumour	CTLA4	P44	5.1350422862336513	5.2787282129389395	0.14368592670528813	False	False
tumour	CTLA4	P5	5.4972930086627914	5.0729632715552242	-0.42432973710756716	True	False
tumour	CTLA4	P7	4.7865963618908065	4.7262862897206741	-0.060310072170132401	False	False
