aoi_label	gsm_id	aoi_code	patient_id	compartment	dsp_run	raw	trimmed	stitched	aligned	deduplicated	n_probes	pct_aligned	pct_trimmed_retained	sequencing_saturation	umiq30	rtsq30	negprobe	q3_norm_sum	detection_at_1x	detection_at_1.25x	detection_at_1.5x	detection_at_1.75x	detection_at_2x	detection_at_2.5x	detection_at_3x	detection_at_4x	detection_at_5x	gene_detection_rate	qc_flag	qc_reason
TIME-L43	GSM6573797	TIME-L	P43	immune	DSP-1012310141221	11349615	10993156	10924382	9801533	1935416	18834	0.8636	0.968593	0.802539	0.9927	0.9926	49.82	2311075.73	0.874238	0.657805	0.423451	0.28362	0.194019	0.108484	0.070183	0.038676	0.024981	0.194019	False	
TIME-L05	GSM6573715	TIME-L	P5	immune	DSP-1012300141221	11073499	10859088	10798428	10109012	3523045	18834	0.912901	0.980637	0.651495	0.9927	0.9919	42.15	3233588.05	0.877715	0.660105	0.49449	0.371189	0.291377	0.18514	0.126565	0.07259	0.05023	0.291377	False	
mLN01	GSM6573700	mLN	P1	tumour	DSP-1012300141221	26478094	26348123	26204360	24722925	4987955	18834	0.933712	0.995091	0.798246	0.9919	0.9916	26.58	1912124.69	0.948272	0.82925	0.680753	0.568953	0.496309	0.385899	0.300952	0.196534	0.133198	0.496309	False	
mLN10	GSM6573729	mLN	P10	tumour	DSP-1012300141221	12831388	12812808	12734902	12140321	4090606	18834	0.946142	0.998552	0.663056	0.9928	0.9929	17.97	1976432.95	0.884669	0.752541	0.651439	0.584466	0.535038	0.465818	0.408313	0.318284	0.254948	0.535038	False	
mLN11	GSM6573733	mLN	P11	tumour	DSP-1012300141221	8011901	7998280	7954814	7392749	2508396	18834	0.922721	0.9983	0.660695	0.9927	0.9925	25.05	1837748.74	0.913876	0.793677	0.662993	0.578314	0.508719	0.402268	0.327966	0.219322	0.155344	0.508719	False	
mLN12	GSM6573737	mLN	P12	tumour	DSP-1012300141221	8167118	8129078	8087646	7658438	2077473	18834	0.937716	0.995342	0.728734	0.9919	0.9918	19.99	1748255.76	0.930994	0.830855	0.721247	0.63154	0.567508	0.474965	0.402429	0.29464	0.218359	0.567508	False	
mLN14	GSM6573744	mLN	P14	tumour	DSP-1012300141221	10187966	10173430	10115851	9290841	3587486	18834	0.911943	0.998573	0.613869	0.9923	0.9922	44.7	1950244.64	0.656253	0.497058	0.397721	0.317535	0.257837	0.179469	0.129881	0.079758	0.055526	0.257837	False	
mLN02	GSM6573701	mLN	P2	tumour	DSP-1012300141221	13061243	13040455	12967409	12088505	3614284	18834	0.925525	0.998408	0.701015	0.9927	0.9924	24.09	1855422.54	0.92741	0.784744	0.652883	0.574141	0.509147	0.407778	0.334278	0.22986	0.164812	0.509147	False	
mLN20	GSM6573761	mLN	P20	tumour	DSP-1012300141221	5192764	5185092	5157056	4717738	1652416	18834	0.908522	0.998523	0.649744	0.9926	0.9923	42.67	2026561.63	0.884615	0.700813	0.512303	0.387718	0.289933	0.178186	0.116347	0.062854	0.040548	0.289933	False	
mLN03	GSM6573706	mLN	P3	tumour	DSP-1012300141221	8548937	8537592	8491249	7732658	2832738	18834	0.904517	0.998673	0.633666	0.9929	0.9926	34.2	2009646.68	0.86172	0.682304	0.543864	0.446935	0.375789	0.275169	0.206162	0.12726	0.086017	0.375789	False	
mLN04	GSM6573707	mLN	P4	tumour	DSP-1012300141221	8737009	8723113	8671187	7951095	2868010	18834	0.910048	0.99841	0.639294	0.9925	0.9923	36.57	1846371.07	0.922114	0.752434	0.576977	0.449503	0.36172	0.248743	0.177276	0.101797	0.069006	0.36172	False	
mLN05	GSM6573716	mLN	P5	tumour	DSP-1012300141221	9295592	9282342	9233927	8510282	2662979	18834	0.915518	0.998575	0.687087	0.9926	0.9929	30.22	1935043.66	0.905264	0.755804	0.599123	0.502086	0.433562	0.327966	0.251578	0.161763	0.112068	0.433562	False	
mLN06	GSM6573717	mLN	P6	tumour	DSP-1012300141221	10622823	10606454	10544191	9475717	3215266	18834	0.892015	0.998459	0.660684	0.9927	0.9928	44.85	2084132.42	0.795121	0.555312	0.416658	0.321761	0.255109	0.167754	0.122285	0.072483	0.051086	0.255109	False	
mLN07	GSM6573723	mLN	P7	tumour	DSP-1012300141221	17381857	17197497	17110457	15891516	3426829	18834	0.914259	0.989394	0.784361	0.9924	0.9923	31.72	1886099.14	0.860383	0.679255	0.547716	0.466299	0.40168	0.302236	0.233765	0.149085	0.103188	0.40168	False	
mLN09	GSM6573728	mLN	P9	tumour	DSP-1012300141221	5308149	5299673	5270959	4850575	1757290	18834	0.913798	0.998403	0.637715	0.9926	0.9924	35.23	1922235.44	0.855783	0.678399	0.534022	0.438911	0.366214	0.261688	0.196801	0.123302	0.085321	0.366214	False	
