aoi_label	gsm_id	aoi_code	patient_id	compartment	dsp_run	raw	trimmed	stitched	aligned	deduplicated	n_probes	pct_aligned	pct_trimmed_retained	sequencing_saturation	umiq30	rtsq30	negprobe	q3_norm_sum	detection_at_1x	detection_at_1.25x	detection_at_1.5x	detection_at_1.75x	detection_at_2x	detection_at_2.5x	detection_at_3x	detection_at_4x	detection_at_5x	gene_detection_rate	qc_flag	qc_reason
LB35	GSM6573800	LB	P35	tumour	DSP-1012310141221	904362	900250	894974	837025	139979	18527	0.925542	0.995453	0.832766	0.9929	0.9927	26.74	1591793.08	0.831871	0.831871	0.704825	0.565369	0.565369	0.446507	0.266289	0.1608	0.10613	0.565369	True	raw sequencing reads below threshold (9.044e+05 < 1e+06)
LB37	GSM6573804	LB	P37	tumour	DSP-1012310141221	20700453	20600024	20466411	18432737	2548901	18834	0.890451	0.995148	0.861719	0.9927	0.9923	44.8	1993747.76	0.856104	0.630095	0.449449	0.338076	0.258693	0.171499	0.120894	0.072162	0.050284	0.258693	False	
LB04	GSM6573710	LB	P4	tumour	DSP-1012300141221	35039382	34867058	34675971	32472775	6526755	18834	0.926751	0.995082	0.799008	0.992	0.992	27.83	1912637.85	0.915481	0.736119	0.597036	0.511127	0.44517	0.348882	0.276827	0.189419	0.137424	0.44517	False	
LB40	GSM6573806	LB	P40	tumour	DSP-1012310141221	12280196	12224879	12148262	11660587	1363472	18834	0.949544	0.995495	0.88307	0.9928	0.9928	46.25	1670457.56	0.964213	0.878303	0.669573	0.432492	0.233711	0.099283	0.057345	0.029154	0.01792	0.233711	False	
LB44	GSM6573809	LB	P44	tumour	DSP-1012310141221	23095761	22989163	22845858	21206063	3101878	18834	0.91818	0.995385	0.853727	0.9927	0.9926	40.79	2166193.22	0.863004	0.652723	0.473842	0.371831	0.300524	0.206269	0.153579	0.09602	0.068311	0.300524	False	
LB05	GSM6573711	LB	P5	tumour	DSP-1012300141221	6047513	6039416	6006769	5636693	1858610	18834	0.932068	0.998661	0.670266	0.9927	0.9927	26.67	1835205.2	0.913876	0.78239	0.648657	0.549695	0.484808	0.377394	0.301755	0.198192	0.139563	0.484808	False	
LB06	GSM6573719	LB	P6	tumour	DSP-1012300141221	11433284	11417694	11359515	10774395	3748740	18834	0.942371	0.998636	0.65207	0.9928	0.9925	26.74	2052014.33	0.912699	0.75452	0.598053	0.51118	0.450786	0.361988	0.291377	0.200813	0.146197	0.450786	False	
LB07	GSM6573720	LB	P7	tumour	DSP-1012300141221	9470893	9444651	9394206	8903818	2928952	18834	0.940124	0.997229	0.671045	0.9926	0.9924	24.5	1861013.17	0.870654	0.702204	0.585803	0.51118	0.463411	0.378571	0.316572	0.230662	0.17182	0.463411	False	
LB08	GSM6573724	LB	P8	tumour	DSP-1012300141221	28207922	28080388	27938918	26229341	5448320	18834	0.929857	0.995479	0.792281	0.9922	0.9923	26.02	1833214.2	0.896491	0.730609	0.603723	0.5245	0.469562	0.378196	0.304215	0.20873	0.153044	0.469562	False	
LB09	GSM6573726	LB	P9	tumour	DSP-1012300141221	17270990	17167905	17067884	15895301	3285834	18834	0.920347	0.994031	0.793283	0.9922	0.9921	31.1	1900702.69	0.836044	0.637477	0.527388	0.454317	0.393442	0.305874	0.243126	0.162298	0.116775	0.393442	False	
