interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
CXCL8_CXCR2	CXCL8 - CXCR2	CXCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CXCL8	CXCR2	CXCL8	CXCR2	L	TIME-L	True	primary	True	True	CXCL8:17/30	CXCR2:11/15	0.5666666666666667	0.7333333333333333	True	admitted	cytokine	False	True	KEGG: hsa04060
CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	brain	ligand_tumour__receptor_immune	CXCL12	CXCR4	CXCL12	CXCR4	LB	TIME-B	True	primary	True	True	CXCL12:22/27	CXCR4:8/8	0.8148148148148148	1.0	True	admitted	cytokine;growth factor	False	True	KEGG: hsa04060
CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	brain	ligand_immune__receptor_tumour	CXCL12	CXCR4	CXCL12	CXCR4	TIME-B	LB	True	primary	True	True	CXCL12:7/8	CXCR4:27/27	0.875	1.0	True	admitted	cytokine;growth factor	False	True	KEGG: hsa04060
CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CXCL12	CXCR4	CXCL12	CXCR4	L	TIME-L	True	primary	True	True	CXCL12:29/30	CXCR4:15/15	0.9666666666666667	1.0	True	admitted	cytokine;growth factor	False	True	KEGG: hsa04060
CXCL12_CXCR4	CXCL12 - CXCR4	CXCL	Secreted Signaling	lung	ligand_immune__receptor_tumour	CXCL12	CXCR4	CXCL12	CXCR4	TIME-L	L	True	primary	True	True	CXCL12:15/15	CXCR4:30/30	1.0	1.0	True	admitted	cytokine;growth factor	False	True	KEGG: hsa04060
CSF1_CSF1R	CSF1 - CSF1R	CSF	Secreted Signaling	lung	ligand_tumour__receptor_immune	CSF1	CSF1R	CSF1	CSF1R	L	TIME-L	True	primary	True	True	CSF1:15/30	CSF1R:10/15	0.5	0.6666666666666666	True	admitted	cytokine;growth factor	True	True	KEGG: hsa04060
TNFSF12_TNFRSF12A	TNFSF12 - TNFRSF12A	TWEAK	Secreted Signaling	brain	ligand_immune__receptor_tumour	TNFSF12	TNFRSF12A	TNFSF12	TNFRSF12A	TIME-B	LB	True	primary	True	True	TNFSF12:4/8	TNFRSF12A:20/27	0.5	0.7407407407407407	True	admitted	cytokine	True	True	KEGG: hsa04060
TNFSF12_TNFRSF12A	TNFSF12 - TNFRSF12A	TWEAK	Secreted Signaling	lung	ligand_immune__receptor_tumour	TNFSF12	TNFRSF12A	TNFSF12	TNFRSF12A	TIME-L	L	True	primary	True	True	TNFSF12:10/15	TNFRSF12A:28/30	0.6666666666666666	0.9333333333333333	True	admitted	cytokine	True	True	KEGG: hsa04060
SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	brain	ligand_tumour__receptor_immune	SPP1	CD44	SPP1	CD44	LB	TIME-B	True	primary	True	True	SPP1:21/27	CD44:8/8	0.7777777777777778	1.0	True	admitted	cytokine	False	True	PMID: 21907263
SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	brain	ligand_immune__receptor_tumour	SPP1	CD44	SPP1	CD44	TIME-B	LB	True	primary	True	True	SPP1:8/8	CD44:25/27	1.0	0.9259259259259259	True	admitted	cytokine	False	True	PMID: 21907263
SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	lung	ligand_tumour__receptor_immune	SPP1	CD44	SPP1	CD44	L	TIME-L	True	primary	True	True	SPP1:21/30	CD44:15/15	0.7	1.0	True	admitted	cytokine	False	True	PMID: 21907263
SPP1_CD44	SPP1 - CD44	SPP1	Secreted Signaling	lung	ligand_immune__receptor_tumour	SPP1	CD44	SPP1	CD44	TIME-L	L	True	primary	True	True	SPP1:11/15	CD44:29/30	0.7333333333333333	0.9666666666666667	True	admitted	cytokine	False	True	PMID: 21907263
ANGPTL2_PIRB	ANGPTL2 - PIRB	ANGPTL	Secreted Signaling	lung	ligand_immune__receptor_tumour	ANGPTL2	LILRB3	ANGPTL2	LILRB3	TIME-L	L	True	primary	True	True	ANGPTL2:9/15	LILRB3:17/30	0.6	0.5666666666666667	True	admitted				PMID: 24478758
ANGPTL4_CDH5	ANGPTL4 - CDH5	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	CDH5	ANGPTL4	CDH5	LB	TIME-B	True	primary	True	True	ANGPTL4:14/27	CDH5:4/8	0.5185185185185185	0.5	True	admitted			True	PMID: 30049845
ANGPTL4_CDH11	ANGPTL4 - CDH11	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	CDH11	ANGPTL4	CDH11	LB	TIME-B	True	primary	True	True	ANGPTL4:14/27	CDH11:8/8	0.5185185185185185	1.0	True	admitted				PMID: 30049845
ANGPTL4_SDC1	ANGPTL4 - SDC1	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC1	ANGPTL4	SDC1	LB	TIME-B	True	primary	True	True	ANGPTL4:14/27	SDC1:5/8	0.5185185185185185	0.625	True	admitted			True	PMID: 29017031
ANGPTL4_SDC1	ANGPTL4 - SDC1	ANGPTL	Secreted Signaling	brain	ligand_immune__receptor_tumour	ANGPTL4	SDC1	ANGPTL4	SDC1	TIME-B	LB	True	primary	True	True	ANGPTL4:4/8	SDC1:25/27	0.5	0.9259259259259259	True	admitted			True	PMID: 29017031
ANGPTL4_SDC2	ANGPTL4 - SDC2	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC2	ANGPTL4	SDC2	LB	TIME-B	True	primary	True	True	ANGPTL4:14/27	SDC2:4/8	0.5185185185185185	0.5	True	admitted			True	PMID: 29017031
ANGPTL4_SDC3	ANGPTL4 - SDC3	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC3	ANGPTL4	SDC3	LB	TIME-B	True	primary	True	True	ANGPTL4:14/27	SDC3:8/8	0.5185185185185185	1.0	True	admitted				PMID: 29017031
ANGPTL4_SDC3	ANGPTL4 - SDC3	ANGPTL	Secreted Signaling	brain	ligand_immune__receptor_tumour	ANGPTL4	SDC3	ANGPTL4	SDC3	TIME-B	LB	True	primary	True	True	ANGPTL4:4/8	SDC3:15/27	0.5	0.5555555555555556	True	admitted				PMID: 29017031
ANGPTL4_SDC4	ANGPTL4 - SDC4	ANGPTL	Secreted Signaling	brain	ligand_tumour__receptor_immune	ANGPTL4	SDC4	ANGPTL4	SDC4	LB	TIME-B	True	primary	True	True	ANGPTL4:14/27	SDC4:5/8	0.5185185185185185	0.625	True	admitted				PMID: 29017031
ANGPTL4_SDC4	ANGPTL4 - SDC4	ANGPTL	Secreted Signaling	brain	ligand_immune__receptor_tumour	ANGPTL4	SDC4	ANGPTL4	SDC4	TIME-B	LB	True	primary	True	True	ANGPTL4:4/8	SDC4:26/27	0.5	0.9629629629629629	True	admitted				PMID: 29017031
MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	SDC1	MDK	SDC1	LB	TIME-B	True	primary	True	True	MDK:22/27	SDC1:5/8	0.8148148148148148	0.625	True	admitted	growth factor	False	True	PMID: 28356350
MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	brain	ligand_immune__receptor_tumour	MDK	SDC1	MDK	SDC1	TIME-B	LB	True	primary	True	True	MDK:8/8	SDC1:25/27	1.0	0.9259259259259259	True	admitted	growth factor	False	True	PMID: 28356350
MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	lung	ligand_tumour__receptor_immune	MDK	SDC1	MDK	SDC1	L	TIME-L	True	primary	True	True	MDK:30/30	SDC1:11/15	1.0	0.7333333333333333	True	admitted	growth factor	False	True	PMID: 28356350
